class,mult,type,subtype,density,ilp2,lp2,lp1
C,3,4,2,0.1,660,669.8911391112869,662.608695652174
C,3,4,5,0.6,559,667.552914140093,659.7826086956521
C,3,1,9,0.8,433,615.574971406657,595.1162790697674
C,3,3,9,0.8,510,661.903449629576,647.6923076923078
C,3,4,2,0.9,497,669.8848719353364,661.9565217391303
C,3,7,4,0.9,1899,3119.691355473223,3119.0392156862745
C,3,1,4,0.9,334,618.3124668629017,600.125
C,3,6,4,0.9,1540,3118.8923382427183,3117.377358490566
C,3,7,2,0.2,3110,3119.862385457532,3119.3307086614172
C,3,1,5,0.5,530,626.2497366166803,601.547619047619
C,3,8,7,0.7,3076,3119.9513460134713,3119.68253968254
C,3,1,5,0.8,418,626.5143465376697,601.547619047619
C,3,1,1,0.7,496,612.0703576308424,594.7435897435898
C,3,6,8,0.8,2055,3119.1812539581097,3118.129770992366
C,3,4,1,0.4,600,670.8179217654061,661.7391304347827
C,3,3,3,0.6,540,662.7647991034696,647.7777777777777
C,3,2,3,0.2,610,652.1697993043026,628.59375
C,3,3,1,0.3,609,656.6831499897386,643.8461538461537
C,3,2,3,0.9,391,652.5537638666706,628.59375
C,3,2,4,0.4,570,643.9685500952703,626.71875
C,3,5,7,0.4,3082,3115.361998526778,3112.288732394366
C,3,2,10,0.4,570,646.6122207819981,630.1612903225807
C,3,8,5,0.7,3080,3119.7947375581625,3119.407114624506
C,3,5,10,0.6,2221,3116.211364004642,3112.7891156462583
C,3,6,10,0.8,2136,3119.6256592606605,3118.167938931297
C,3,5,1,0.1,3110,3116.0428247922373,3114.9122807017548
C,3,2,4,0.9,424,644.1335789600254,626.71875
C,3,2,8,0.4,560,642.4806386836391,624.1935483870968
C,3,6,9,0.8,1898,3118.705077123368,3116.85393258427
C,3,2,4,0.5,549,643.9720559258138,626.71875
C,3,7,7,0.4,3110,3119.8659084565948,3119.409448818897
C,3,8,1,0.3,3110,3120.0000000000005,3119.8207171314743
C,3,5,7,0.7,1938,3115.0424978656147,3112.2887323943664
C,3,5,1,0.9,1267,3115.8176783956205,3113.356890459364
C,3,3,8,0.7,530,660.2221700044898,648.4000000000001
C,3,7,4,0.2,3110,3119.6811651150742,3119.039215686275
C,3,8,9,0.9,2060,3119.9899298633927,3119.702380952381
C,3,7,10,0.5,3100,3119.469650798152,3118.5797665369655
C,3,4,6,0.8,520,669.8794601790685,662.173913043478
C,3,1,5,0.2,580,625.1027030999047,601.547619047619
C,3,5,1,0.2,3110,3115.9271646997113,3113.3568904593644
C,3,6,5,0.6,3002,3119.1008968248984,3117.6235741444866
C,3,7,8,0.2,3110,3119.5838751347487,3119.2125984251966
C,3,6,3,0.2,3110,3119.3884191457496,3118.3144368858652
C,3,6,8,0.7,2491,3119.1846853112993,3118.129770992366
C,3,3,9,0.6,540,661.9253278079103,647.6923076923076
C,3,2,10,0.5,550,646.1476500480544,630.1612903225806
C,3,5,4,0.6,2468,3117.1062958199286,3114.9638989169675
C,3,7,4,0.5,3100,3119.6961062914565,3119.039215686274
C,3,8,8,0.2,3110,3120,3119.840637450199
C,3,1,7,0.3,570,620.8049053889875,599.5348837209302
C,3,2,2,0.9,398,640.1860398724757,626
C,3,7,3,0.4,3110,3119.482737236201,3118.76953125
C,3,5,3,0.1,3110,3117.601528443059,3116.1010830324913
C,3,7,1,0.2,3110,3119.9058157874433,3119.545454545454
C,3,8,7,0.9,2070,3119.9505812875573,3119.68253968254
C,3,7,2,0.9,1808,3119.8651319074875,3119.330708661417
