instance,profit,LBi,UBi,h1,h2,nodes,ub_l2_cuts,ub_mt_cuts,ub_p_cuts,valid
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.1.bz2,210,210,0,210,200,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.2.bz2,210,208,210,208,175,10,13,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.3.bz2,200,199,210,199,175,17,357,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.4.bz2,200,200,0,200,184,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.5.bz2,200,199,200,199,187,25,113,7,7,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.6.bz2,199,199,200,199,142,60,29,7,11,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.7.bz2,200,198,200,198,180,6,7,0,2,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.8.bz2,186,180,200,180,125,57,200,14,33,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.9.bz2,180,180,190,180,122,11,9,0,11,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.1.bz2,220,220,0,220,214,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.2.bz2,220,220,0,220,215,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.3.bz2,210,210,220,210,185,1,0,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.4.bz2,210,210,0,210,210,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.5.bz2,200,200,210,200,169,131,733,0,3,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.6.bz2,200,200,210,200,179,16,18,0,11,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.7.bz2,200,198,210,198,160,12,29,3,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.8.bz2,189,185,200,185,100,75,232,55,43,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.9.bz2,180,180,190,180,142,41,51,0,27,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.1.bz2,210,210,0,210,194,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.2.bz2,210,210,0,210,196,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.3.bz2,210,210,0,210,205,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.4.bz2,200,200,210,200,165,21,24,0,7,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.5.bz2,200,200,210,200,180,1,0,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.6.bz2,200,200,143,200,150,0,0,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.7.bz2,190,189,200,189,177,125,489,3,17,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.8.bz2,188,188,200,188,137,28,28,10,16,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.9.bz2,180,177,190,177,154,34,105,0,8,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.1.bz2,210,210,0,210,191,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.2.bz2,210,210,0,210,206,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.3.bz2,210,210,0,210,201,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.4.bz2,210,209,210,209,206,6,3,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.5.bz2,200,199,210,199,172,60,528,1,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.6.bz2,200,196,200,196,187,60,170,0,3,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.7.bz2,199,188,200,188,169,57,289,12,52,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.8.bz2,186,178,200,178,111,188,622,32,62,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.9.bz2,180,180,200,180,66,34,41,0,19,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.1.bz2,210,210,0,210,197,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.2.bz2,210,210,0,210,204,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.3.bz2,210,210,0,210,204,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.4.bz2,208,208,210,208,172,10,24,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.5.bz2,200,199,210,199,170,23,186,1,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.6.bz2,200,198,200,198,177,22,42,2,6,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.7.bz2,190,189,200,189,97,45,293,0,5,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.8.bz2,190,190,200,190,115,4,3,0,5,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.9.bz2,179,178,190,178,135,67,76,0,42,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.1.bz2,220,218,220,218,214,19,23,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.2.bz2,210,210,0,210,194,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.3.bz2,210,210,0,210,194,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.4.bz2,210,209,210,209,209,6,22,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.5.bz2,200,200,210,200,162,61,202,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.6.bz2,200,200,210,200,188,4,4,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.7.bz2,190,184,200,184,114,92,606,0,8,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.8.bz2,183,183,200,183,127,157,412,6,32,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.9.bz2,180,180,190,180,70,33,71,0,8,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_1_0_6.txt_0.1.bz2,210,210,0,210,189,0,1,0,0,1
