class,mult,type,subtype,density,cnd.ub_l2,cni.ub_l2,ffnd.ub_l2,ffni.ub_l2,weighted_1.0.ub_l2,weighted_0.5.ub_l2,weighted_m0.5.ub_l2,weighted_m1.0.ub_l2,ilp2,lp2
C,15,1,1,0.8,906,1213,906,1213,1225,1202,1185,1219,423,4145.218779534811
C,15,1,1,0.7,1212,1490,1212,1490,1535,1603,1683,1490,563,4142.858442752535
C,15,1,1,0.6,1512,1888,1512,1888,1922,1838,1809,1866,623,4146.46496527842
C,15,1,1,0.5,1918,2414,1918,2414,2269,2235,2213,1987,744,4142.264244661703
C,15,1,1,0.4,2203,2539,2203,2539,2646,2760,2472,2382,947,4147.423581068513
C,15,1,1,0.3,2538,2976,2538,2976,3345,2999,3026,2962,1211,4156.066261770738
C,15,1,1,0.2,3089,3400,3089,3400,3666,3862,3303,3334,1601,4171.016754530982
C,15,1,1,0.1,4001,4178,4001,4178,4660,4717,4329,4387,2524,4265.652714718615
C,15,1,1,0.9,578,841,578,841,831,821,721,829,325,4142.635146559072
C,15,4,1,0.8,4026,5389,4026,5389,5625,5749,5499,5510,607,18580.100474333605
C,15,4,1,0.7,5698,7751,5698,7751,7955,7904,7697,7510,773,18580.70303288384
C,15,5,1,0.1,11907,11858,11907,11858,12911,12507,11250,10997,8307,10746.3884081134
C,15,5,1,0.2,9645,9243,9645,9243,9740,9981,9887,9851,5574,10321.229829232854
C,15,5,1,0.3,7651,8478,7651,8478,8486,8453,7285,7633,4357,10299.999999999998
C,15,5,1,0.4,6219,6737,6219,6737,8131,7839,7178,6860,3675,10300
C,15,4,1,0.6,7421,9488,7421,9488,10181,9914,9809,9725,859,18581.228689051335
C,15,5,1,0.6,4689,5147,4689,5147,5574,5893,4946,4805,2257,10300
C,15,5,1,0.5,5489,6203,5489,6203,6655,6788,5642,5642,2828,10300
C,15,5,1,0.7,3673,4420,3673,4420,4835,4835,3995,3894,2226,10300.000000000002
C,15,5,1,0.8,3042,3626,3042,3626,3584,3732,2863,2863,1760,10299.999999999996
C,15,4,1,0.5,9444,11930,9444,11930,12282,12172,11973,11886,1072,18580.90308305299
C,15,5,1,0.9,2032,2375,2032,2375,2233,2285,1931,2313,1267,10299.999999999996
C,15,4,1,0.4,11663,14908,11663,14908,14891,14794,14445,14288,1266,18582.13189005987
C,15,4,1,0.3,14205,16980,14205,16980,16920,16970,16930,16900,1798,18583.887756753265
C,15,4,1,0.2,17390,17420,17390,17420,17430,17470,17450,17420,2563,18584.43058313476
C,15,4,1,0.1,18190,17860,18190,17860,17900,17880,17890,17900,5030,18584.98422778097
C,15,8,1,0.3,15590,15570,15590,15570,15590,15590,15590,15590,8064,15594.749258741773
C,15,8,1,0.2,15590,15580,15590,15580,15590,15590,15590,15590,11512,15594.810110363607
