class,mult,type,subtype,density,ilp2,ub_l2,ub_l3,ub_l4,ub_l5,ub_l6
C,15,1,1,0.1,2524,4001,4109,4001,4109,4001
C,15,1,1,0.8,423,906,1014,906,1014,906
C,15,1,1,0.7,563,1205,1311,1205,1311,1205
C,15,1,1,0.9,325,578,686,578,686,578
C,15,1,1,0.3,1211,2526,2632,2526,2632,2526
C,15,1,1,0.5,744,1918,2026,1918,2026,1918
C,15,1,1,0.2,1601,3089,3197,3089,3197,3089
C,15,1,1,0.6,623,1498,1602,1498,1602,1498
C,15,1,1,0.4,947,2178,2281,2178,2281,2178
C,15,4,1,0.2,2438,17390,17400,17390,17400,17390
C,15,4,1,0.3,1193,13688,13790,13688,13790,13688
C,15,4,1,0.1,4437,18190,18190,18190,18190,18190
C,15,5,1,0.1,8307,11552,12034,11552,12034,11552
C,15,5,1,0.2,5574,9624,10108,9624,10108,9624
C,15,5,1,0.3,4357,7630,8114,7630,8114,7630
C,15,4,1,0.8,464,4024,4134,4024,4134,4024
C,15,5,1,0.4,3675,6219,6724,6219,6724,6219
C,15,4,1,0.7,490,5580,5681,5580,5681,5580
C,15,5,1,0.5,2828,5400,5855,5400,5855,5400
C,15,5,1,0.6,2257,4665,5148,4665,5148,4665
C,15,5,1,0.7,2226,3623,4106,3623,4106,3623
C,15,4,1,0.6,614,7364,7470,7364,7470,7364
C,15,5,1,0.9,1267,2032,2537,2032,2537,2032
C,15,5,1,0.8,1760,3021,3505,3021,3505,3021
C,15,4,1,0.5,931,9444,9554,9444,9554,9444
C,15,4,1,0.4,979,11270,11371,11270,11371,11270
C,15,8,1,0.6,3341,15560,15560,15560,15560,15560
C,15,8,1,0.5,4234,15580,15580,15580,15580,15580
C,15,8,1,0.4,5405,15590,15590,15590,15590,15590
C,1,1,1,0.1,210,210,210,210,210,210
C,15,8,1,0.3,7533,15590,15590,15590,15590,15590
C,1,1,1,0.2,210,210,210,210,210,210
C,15,8,1,0.7,3043,15440,15450,15440,15450,15440
C,1,1,1,0.3,200,210,210,210,210,210
C,15,8,1,0.2,10251,15590,15590,15590,15590,15590
C,1,1,1,0.4,200,210,210,210,210,210
C,1,1,1,0.5,200,210,210,210,210,210
C,15,8,1,0.1,15480,15590,15590,15590,15590,15590
C,1,1,1,0.6,199,210,210,210,210,210
C,1,1,1,0.7,200,210,210,210,210,210
C,1,1,1,0.9,180,200,200,200,200,200
C,1,1,1,0.8,186,210,210,210,210,210
C,1,4,1,0.1,220,220,220,220,220,220
C,1,4,1,0.2,220,220,220,220,220,220
C,1,4,1,0.6,220,220,220,220,220,220
C,1,4,1,0.3,220,220,220,220,220,220
C,1,4,1,0.4,220,220,220,220,220,220
C,1,5,1,0.1,1030,1030,1030,1030,1030,1030
C,1,5,1,0.2,1030,1030,1030,1030,1030,1030
C,1,5,1,0.3,1030,1030,1030,1030,1030,1030
C,1,5,1,0.4,1030,1030,1030,1030,1030,1030
C,1,5,1,0.5,1030,1030,1030,1030,1030,1030
C,1,5,1,0.6,1030,1030,1030,1030,1030,1030
C,1,5,1,0.7,1030,1030,1030,1030,1030,1030
C,1,5,1,0.8,1030,1030,1030,1030,1030,1030
C,1,5,1,0.9,1003,1030,1030,1030,1030,1030
C,15,4,1,0.9,359,2394,2499,2394,2499,2394
