class,mult,type,subtype,density,ilp2,ub_l2,ub_l3,ub_l4,ub_l5,ub_l6
C,15,1,1,0.1,2524,4178,4211,4178,4211,4178
C,15,1,1,0.8,423,1213,1249,1213,1249,1213
C,15,1,1,0.7,563,1490,1557,1490,1557,1490
C,15,1,1,0.9,325,841,898,841,898,841
C,15,1,1,0.6,623,1888,1953,1888,1953,1888
C,15,1,1,0.2,1601,3400,3443,3400,3443,3400
C,15,1,1,0.4,947,2539,2592,2539,2592,2539
C,15,1,1,0.5,744,2414,2470,2414,2470,2414
C,15,1,1,0.3,1211,2976,3009,2976,3009,2976
C,15,4,1,0.3,1808,16970,16980,16970,16980,16970
C,15,4,1,0.1,4288,17860,17870,17860,17870,17860
C,15,4,1,0.2,2510,17420,17430,17420,17430,17420
C,15,5,1,0.1,8307,11858,12120,11858,12120,11858
C,15,5,1,0.2,5574,9243,9511,9243,9511,9243
C,15,4,1,0.8,541,5389,5463,5389,5463,5389
C,15,4,1,0.4,1310,14763,14819,14763,14819,14763
C,15,5,1,0.3,4357,8478,8746,8478,8746,8478
C,15,4,1,0.6,937,9441,9489,9441,9489,9441
C,15,4,1,0.5,981,10990,11062,10990,11062,10990
C,15,4,1,0.7,701,7471,7552,7471,7552,7471
C,15,5,1,0.9,1267,2375,2653,2375,2653,2375
C,15,5,1,0.5,2828,6203,6468,6203,6468,6203
C,15,5,1,0.4,3675,6737,7016,6737,7016,6737
C,15,5,1,0.6,2257,5147,5426,5147,5426,5147
C,15,5,1,0.8,1760,3626,3986,3626,3986,3626
C,15,5,1,0.7,2226,4055,4422,4055,4422,4055
C,15,8,1,0.7,2975,15430,15430,15430,15430,15430
C,15,8,1,0.5,4672,15530,15530,15530,15530,15530
C,15,8,1,0.6,3816,15480,15490,15480,15490,15480
C,15,8,1,0.4,5449,15540,15540,15540,15540,15540
C,1,1,1,0.1,210,210,210,210,210,210
C,1,1,1,0.2,210,210,210,210,210,210
C,15,8,1,0.3,7191,15560,15570,15560,15570,15560
C,1,1,1,0.3,200,210,210,210,210,210
C,1,1,1,0.4,200,200,200,200,200,200
C,1,1,1,0.5,200,200,210,200,210,200
C,15,8,1,0.2,10669,15580,15580,15580,15580,15580
C,1,1,1,0.6,199,200,200,200,200,200
C,1,1,1,0.7,200,200,200,200,200,200
C,15,8,1,0.1,15480,15580,15580,15580,15580,15580
C,1,1,1,0.9,180,190,200,190,200,190
C,1,4,1,0.1,220,220,220,220,220,220
C,1,1,1,0.8,186,190,190,190,190,190
C,1,4,1,0.2,220,220,220,220,220,220
C,1,4,1,0.3,220,220,220,220,220,220
C,1,4,1,0.5,220,220,220,220,220,220
C,1,4,1,0.4,220,220,220,220,220,220
C,1,5,1,0.1,1030,1030,1030,1030,1030,1030
C,1,5,1,0.2,1030,1030,1030,1030,1030,1030
C,1,5,1,0.3,1030,1030,1030,1030,1030,1030
C,1,5,1,0.4,1030,1030,1030,1030,1030,1030
C,1,5,1,0.5,1030,1030,1030,1030,1030,1030
C,1,5,1,0.6,1030,1030,1030,1030,1030,1030
C,1,5,1,0.7,1030,1030,1030,1030,1030,1030
C,1,5,1,0.8,1030,1030,1030,1030,1030,1030
C,1,5,1,0.9,1003,1030,1030,1030,1030,1030
C,1,8,1,0.1,1040,1040,1040,1040,1040,1040
C,1,8,1,0.2,1040,1040,1040,1040,1040,1040
C,15,4,1,0.9,446,3405,3479,3405,3479,3405
C,1,8,1,0.3,1040,1040,1040,1040,1040,1040
C,1,8,1,0.4,1040,1040,1040,1040,1040,1040
C,1,8,1,0.5,1040,1040,1040,1040,1040,1040
C,1,4,1,0.6,220,220,220,220,220,220
C,1,8,1,0.7,1040,1040,1040,1040,1040,1040
C,1,8,1,0.8,1040,1040,1040,1040,1040,1040
R,15,1,1,0.1,1949,2993,3092,2993,3092,2993
R,15,1,1,0.2,1259,2586,2657,2586,2657,2586
R,15,1,1,0.3,1066,2301,2399,2301,2399,2301
R,15,1,1,0.4,871,1886,1978,1886,1978,1886
C,1,8,1,0.6,1030,1030,1030,1030,1030,1030
C,1,8,1,0.9,1030,1030,1040,1030,1040,1030
R,15,1,1,0.6,536,1335,1431,1335,1431,1335
R,15,1,1,0.5,608,1541,1633,1541,1633,1541
R,15,1,1,0.7,517,1188,1261,1188,1261,1188
R,15,1,1,0.9,273,576,668,576,668,576
R,15,1,1,0.8,323,804,900,804,900,804
C,1,4,1,0.7,210,220,220,220,220,220
C,1,4,1,0.9,190,210,210,210,210,210
C,1,4,1,0.8,200,210,210,210,210,210
C,15,8,1,0.9,2064,9354,9651,9354,9651,9354
C,15,8,1,0.8,2483,14765,15104,14765,15104,14765
R,15,4,1,0.3,1489,12856,12950,12856,12950,12856
R,15,4,1,0.2,2175,15144,15212,15144,15212,15144
R,15,5,1,0.1,1402,1678,1778,1678,1778,1678
R,15,5,1,0.2,881,1301,1398,1301,1398,1301
R,15,4,1,0.1,3505,17894,17973,17894,17973,17894
R,15,5,1,0.3,707,1162,1255,1162,1255,1162
R,15,5,1,0.4,596,1057,1151,1057,1151,1057
R,15,5,1,0.5,550,911,1010,911,1010,911
R,15,5,1,0.6,407,744,814,744,814,744
R,15,5,1,0.7,370,688,788,688,788,688
R,15,5,1,0.8,269,498,581,498,581,498
R,15,5,1,0.9,211,330,418,330,418,330
R,15,4,1,0.4,874,10171,10270,10171,10270,10171
R,15,4,1,0.5,744,8724,8808,8724,8808,8724
R,15,4,1,0.6,804,6705,6801,6705,6801,6705
R,15,4,1,0.7,596,5565,5664,5565,5664,5565
R,15,4,1,0.8,493,3805,3887,3805,3887,3805
R,15,8,1,0.2,1919,4196,4236,4196,4236,4196
R,15,8,1,0.1,3494,4511,4551,4511,4551,4511
R,15,4,1,0.9,355,2266,2360,2266,2360,2266
R,1,1,1,0.1,402,402,428,402,428,402
R,1,1,1,0.2,456,456,506,456,506,456
R,1,1,1,0.3,361,373,419,373,419,373
R,1,1,1,0.4,424,436,439,436,439,436
R,1,1,1,0.5,422,447,463,447,463,447
R,1,1,1,0.6,347,392,439,392,439,392
R,1,1,1,0.7,373,396,439,396,439,396
R,1,1,1,0.8,280,286,316,286,316,286
R,1,1,1,0.9,266,338,423,338,423,338
R,1,4,1,0.1,657,657,666,657,666,657
R,1,4,1,0.2,602,603,623,603,623,603
R,1,4,1,0.3,614,628,643,628,643,628
R,1,4,1,0.4,571,614,631,614,631,614
R,15,8,1,0.3,1362,4128,4178,4128,4178,4128
R,1,4,1,0.5,561,575,607,575,607,575
R,1,4,1,0.6,527,555,578,555,578,555
R,1,4,1,0.7,475,550,566,550,566,550
R,1,4,1,0.8,429,571,581,571,581,571
R,1,5,1,0.1,294,294,298,294,298,294
R,1,5,1,0.2,293,293,294,293,294,293
R,1,5,1,0.3,287,291,291,291,291,291
R,1,5,1,0.4,286,290,297,290,297,290
R,1,5,1,0.5,292,292,295,292,295,292
R,1,5,1,0.6,277,282,293,282,293,282
R,1,5,1,0.7,282,295,299,295,299,295
R,1,5,1,0.8,263,267,267,267,267,267
R,1,5,1,0.9,195,245,250,245,250,245
R,1,8,1,0.1,323,331,349,331,349,331
R,1,8,1,0.2,307,320,347,320,347,320
R,1,8,1,0.3,339,348,362,348,362,348
R,1,4,1,0.9,358,533,564,533,564,533
R,1,8,1,0.4,313,325,352,325,352,325
R,1,8,1,0.6,300,300,300,300,300,300
R,1,8,1,0.5,300,340,340,340,340,340
R,1,8,1,0.7,300,347,347,347,347,347
R,1,8,1,0.8,295,304,345,304,345,304
R,1,8,1,0.9,292,297,298,297,298,297
R,15,8,1,0.4,1012,3802,3857,3802,3857,3802
R,15,8,1,0.5,791,3670,3733,3670,3733,3670
R,15,8,1,0.6,653,3323,3395,3323,3395,3323
R,15,8,1,0.7,569,2778,2851,2778,2851,2778
R,15,8,1,0.8,464,2285,2385,2285,2385,2285
R,15,8,1,0.9,419,1403,1498,1403,1498,1403
