class,mult,type,subtype,density,ub_l2,ub_l3,ub_l4,ub_l5,ub_l6
C,15,1,1,0.8,906,1014,906,972,906
C,15,1,1,0.6,1512,1620,1512,1620,1512
C,15,1,1,0.4,2203,2311,2203,2305,2203
C,15,1,1,0.7,1212,1320,1212,1320,1212
C,15,1,1,0.3,2538,2646,2538,2639,2538
C,15,1,1,0.2,3089,3192,3089,3192,3089
C,15,1,1,0.5,1918,2026,1918,2006,1918
C,15,1,1,0.1,4001,4109,4001,4109,4001
C,15,1,1,0.9,578,686,578,665,578
C,15,4,1,0.8,4026,4136,4026,4136,4026
C,15,4,1,0.6,7421,7531,7421,7531,7421
C,15,5,1,0.1,11907,12272,11907,12272,11907
C,15,4,1,0.7,5698,5808,5698,5808,5698
C,15,5,1,0.2,9645,10129,9645,9595,9595
C,15,5,1,0.3,7651,8135,7651,8027,7651
C,15,5,1,0.4,6219,6702,6219,6702,6219
C,15,5,1,0.5,5489,5973,5489,5910,5489
C,15,5,1,0.7,3673,4157,3673,4128,3673
C,15,5,1,0.6,4689,5171,4689,5171,4689
C,15,5,1,0.8,3042,3526,3042,3217,3042
C,15,5,1,0.9,2032,2515,2032,2515,2032
C,15,4,1,0.5,9444,9554,9444,9554,9444
C,15,4,1,0.4,11663,11773,11663,11773,11663
C,15,4,1,0.3,14205,14315,14205,14315,14205
C,15,4,1,0.2,17390,17400,17390,17400,17390
C,15,4,1,0.1,18190,18190,18190,18190,18190
C,15,8,1,0.3,15590,15590,15590,15590,15590
C,15,8,1,0.2,15590,15590,15590,15590,15590
C,15,8,1,0.4,15590,15590,15590,15590,15590
C,1,1,1,0.1,210,210,210,210,210
C,1,1,1,0.2,210,210,210,210,210
C,1,1,1,0.3,210,210,210,210,210
C,15,8,1,0.1,15590,15590,15590,15590,15590
C,1,1,1,0.4,210,210,210,210,210
C,1,1,1,0.5,210,210,210,210,210
C,1,1,1,0.6,210,210,210,210,210
C,1,1,1,0.7,210,210,210,210,210
C,1,1,1,0.8,210,210,210,210,210
C,1,1,1,0.9,200,200,200,200,200
C,15,8,1,0.6,15560,15560,15560,15560,15560
C,15,8,1,0.5,15580,15580,15580,15580,15580
C,1,4,1,0.1,220,220,220,220,220
C,1,4,1,0.2,220,220,220,220,220
C,1,4,1,0.3,220,220,220,220,220
C,1,4,1,0.4,220,220,220,220,220
C,1,4,1,0.5,220,220,220,220,220
C,1,4,1,0.6,220,220,220,220,220
C,1,5,1,0.1,1030,1030,1030,1030,1030
C,15,8,1,0.7,15440,15450,15440,15450,15440
C,1,5,1,0.2,1030,1030,1030,1030,1030
C,1,5,1,0.3,1030,1030,1030,1030,1030
C,1,5,1,0.4,1030,1030,1030,1030,1030
C,1,5,1,0.5,1030,1030,1030,1030,1030
C,1,5,1,0.6,1030,1030,1030,1030,1030
C,1,5,1,0.7,1030,1030,1030,1030,1030
C,1,4,1,0.7,220,220,220,220,220
C,1,5,1,0.8,1030,1030,1030,1030,1030
C,1,5,1,0.9,1030,1030,1030,1030,1030
C,1,4,1,0.8,220,220,220,220,220
C,1,8,1,0.3,1040,1040,1040,1040,1040
C,1,8,1,0.2,1040,1040,1040,1040,1040
C,1,8,1,0.1,1040,1040,1040,1040,1040
C,1,4,1,0.9,220,220,220,220,220
C,1,8,1,0.4,1040,1040,1040,1040,1040
C,1,8,1,0.5,1040,1040,1040,1040,1040
C,1,8,1,0.6,1040,1040,1040,1040,1040
C,1,8,1,0.7,1040,1040,1040,1040,1040
C,1,8,1,0.8,1040,1040,1040,1040,1040
C,1,8,1,0.9,1040,1040,1040,1040,1040
R,15,1,1,0.3,2322,2324,2322,2324,2322
R,15,1,1,0.2,2972,2973,2972,2973,2972
R,15,1,1,0.1,3275,3276,3275,3276,3275
R,15,1,1,0.4,2181,2182,2181,2182,2181
R,15,1,1,0.5,2058,2059,2058,2059,2058
R,15,1,1,0.8,969,970,969,970,969
R,15,1,1,0.6,1635,1637,1635,1637,1635
R,15,1,1,0.7,1369,1370,1369,1370,1369
R,15,1,1,0.9,761,763,761,763,761
C,15,8,1,0.9,7432,7940,7432,7937,7432
C,15,8,1,0.8,12204,12712,12204,12711,12204
C,15,4,1,0.9,2417,2527,2417,2524,2417
R,15,4,1,0.5,10610,10611,10610,10611,10610
R,15,4,1,0.7,7027,7028,7027,7028,7027
R,15,5,1,0.1,1928,1929,1928,1929,1928
R,15,5,1,0.2,1526,1528,1526,1528,1526
R,15,4,1,0.4,12676,12677,12676,12677,12676
