class,mult,type,subtype,density,ub_l2,ub_l3,ub_l4,ub_l5,ub_l6
C,15,1,1,0.7,1490,1520,1490,1520,1490
C,15,1,1,0.8,1213,1243,1213,1243,1213
C,15,1,1,0.6,1888,1918,1888,1918,1888
C,15,1,1,0.3,2976,3006,2976,3006,2976
C,15,1,1,0.4,2539,2569,2539,2569,2539
C,15,1,1,0.5,2414,2444,2414,2444,2414
C,15,1,1,0.2,3400,3430,3400,3430,3400
C,15,1,1,0.1,4178,4208,4178,4208,4178
C,15,1,1,0.9,841,871,841,871,841
C,15,4,1,0.8,5389,5419,5389,5419,5389
C,15,4,1,0.7,7751,7781,7751,7781,7751
C,15,5,1,0.1,11858,12119,11858,12119,11858
C,15,5,1,0.2,9243,9504,9243,9504,9243
C,15,4,1,0.6,9488,9518,9488,9518,9488
C,15,5,1,0.3,8478,8739,8478,8739,8478
C,15,5,1,0.4,6737,6998,6737,6998,6737
C,15,5,1,0.5,6203,6464,6203,6464,6203
C,15,5,1,0.6,5147,5408,5147,5408,5147
C,15,5,1,0.7,4420,4681,4420,4681,4420
C,15,5,1,0.8,3626,3887,3626,3887,3626
C,15,5,1,0.9,2375,2636,2375,2636,2375
C,15,4,1,0.5,11930,11960,11930,11960,11930
C,15,4,1,0.4,14908,14938,14908,14938,14908
C,15,4,1,0.3,16980,16990,16980,16990,16980
C,15,4,1,0.2,17420,17430,17420,17430,17420
C,15,4,1,0.1,17860,17870,17860,17870,17860
C,15,8,1,0.3,15570,15570,15570,15570,15570
C,15,8,1,0.2,15580,15580,15580,15580,15580
C,15,8,1,0.1,15580,15580,15580,15580,15580
C,1,1,1,0.1,210,210,210,210,210
C,15,8,1,0.4,15550,15550,15550,15550,15550
C,1,1,1,0.2,210,210,210,210,210
C,1,1,1,0.3,210,210,210,210,210
C,1,1,1,0.4,200,210,200,200,200
C,1,1,1,0.5,200,200,200,200,200
C,1,1,1,0.6,200,210,200,210,200
C,1,1,1,0.7,200,200,200,200,200
C,1,1,1,0.8,200,200,200,200,200
C,1,1,1,0.9,190,200,190,190,190
C,15,8,1,0.5,15530,15530,15530,15530,15530
C,1,4,1,0.1,220,220,220,220,220
C,1,4,1,0.2,220,220,220,220,220
C,1,4,1,0.3,220,220,220,220,220
C,1,4,1,0.4,220,220,220,220,220
C,1,4,1,0.5,220,220,220,220,220
C,15,8,1,0.6,15500,15500,15500,15500,15500
C,1,4,1,0.6,220,220,220,220,220
C,1,5,1,0.1,1030,1030,1030,1030,1030
C,1,5,1,0.2,1030,1030,1030,1030,1030
C,1,5,1,0.3,1030,1030,1030,1030,1030
C,1,5,1,0.4,1030,1030,1030,1030,1030
C,1,5,1,0.5,1030,1030,1030,1030,1030
C,1,5,1,0.6,1030,1030,1030,1030,1030
C,1,5,1,0.7,1030,1030,1030,1030,1030
C,1,5,1,0.8,1030,1030,1030,1030,1030
C,1,5,1,0.9,1030,1030,1030,1030,1030
C,1,4,1,0.7,220,220,220,220,220
C,1,4,1,0.8,220,220,220,220,220
C,1,4,1,0.9,210,210,210,210,210
C,1,8,1,0.1,1040,1040,1040,1040,1040
C,1,8,1,0.2,1040,1040,1040,1040,1040
C,15,8,1,0.7,15430,15440,15430,15440,15430
C,1,8,1,0.3,1040,1040,1040,1040,1040
C,1,8,1,0.4,1040,1040,1040,1040,1040
C,1,8,1,0.5,1040,1040,1040,1040,1040
C,1,8,1,0.6,1040,1040,1040,1040,1040
C,1,8,1,0.7,1040,1040,1040,1040,1040
C,1,8,1,0.9,1030,1040,1030,1030,1030
C,1,8,1,0.8,1040,1040,1040,1040,1040
R,15,1,1,0.1,2993,3083,2993,3083,2993
