class,mult,type,subtype,density,ub_l2,alpha,ascending
C,15,1,1,0.4,2591,-3,0
C,15,1,1,0.4,2499,-3,1
C,15,1,1,0.4,2683,-2,0
C,15,1,1,0.4,2548,-2,1
C,15,1,1,0.4,2382,-1,0
C,15,1,1,0.4,2474,-1,1
C,15,1,1,0.4,2472,-0.5,0
C,15,1,1,0.4,2299,-0.5,1
C,15,1,1,0.4,2760,0.5,0
C,15,1,1,0.4,2273,0.5,1
C,15,1,1,0.4,2646,1,0
C,15,1,1,0.4,2340,1,1
C,15,1,1,0.4,2788,2,0
C,15,1,1,0.4,2353,2,1
C,15,1,1,0.4,2897,3,0
C,15,1,1,0.4,2459,3,1
C,15,1,1,0.3,3037,-3,0
C,15,1,1,0.3,2882,-3,1
C,15,1,1,0.3,3044,-2,0
C,15,1,1,0.3,2824,-2,1
C,15,1,1,0.3,2962,-1,0
C,15,1,1,0.3,2864,-1,1
C,15,1,1,0.3,3026,-0.5,0
C,15,1,1,0.3,2588,-0.5,1
C,15,1,1,0.3,2999,0.5,0
C,15,1,1,0.3,2568,0.5,1
C,15,1,1,0.3,3345,1,0
C,15,1,1,0.3,2915,1,1
C,15,1,1,0.3,3304,2,0
C,15,1,1,0.3,2901,2,1
C,15,1,1,0.3,3209,3,0
C,15,1,1,0.3,2750,3,1
C,15,1,1,0.2,3497,-3,0
C,15,1,1,0.2,3535,-3,1
C,15,1,1,0.2,3594,-2,0
C,15,1,1,0.2,3545,-2,1
C,15,1,1,0.2,3334,-1,0
C,15,1,1,0.2,3376,-1,1
C,15,1,1,0.2,3303,-0.5,0
C,15,1,1,0.2,3248,-0.5,1
C,15,1,1,0.2,3862,0.5,0
C,15,1,1,0.2,3154,0.5,1
C,15,1,1,0.2,3666,1,0
C,15,1,1,0.2,3241,1,1
C,15,1,1,0.2,3908,2,0
C,15,1,1,0.2,3238,2,1
C,15,1,1,0.2,3664,3,0
C,15,1,1,0.2,3380,3,1
C,15,1,1,0.1,4170,-3,0
C,15,1,1,0.1,4181,-3,1
C,15,1,1,0.1,4044,-2,0
C,15,1,1,0.1,4216,-2,1
C,15,1,1,0.1,4387,-1,0
C,15,1,1,0.1,4252,-1,1
C,15,1,1,0.1,4329,-0.5,0
C,15,1,1,0.1,4031,-0.5,1
C,15,1,1,0.1,4717,0.5,0
C,15,1,1,0.1,3861,0.5,1
C,15,1,1,0.1,4660,1,0
C,15,1,1,0.1,3964,1,1
C,15,1,1,0.1,4560,2,0
C,15,1,1,0.1,3835,2,1
C,15,1,1,0.1,4618,3,0
C,15,1,1,0.1,3905,3,1
C,15,1,1,0.5,2119,-3,0
C,15,1,1,0.5,2247,-3,1
C,15,1,1,0.5,2023,-2,0
C,15,1,1,0.5,2171,-2,1
C,15,1,1,0.5,1987,-1,0
C,15,1,1,0.5,1934,-1,1
C,15,1,1,0.5,2213,-0.5,0
C,15,1,1,0.5,1926,-0.5,1
C,15,1,1,0.5,2235,0.5,0
C,15,1,1,0.5,1929,0.5,1
C,15,1,1,0.5,2269,1,0
C,15,1,1,0.5,1922,1,1
C,15,1,1,0.5,2236,2,0
C,15,1,1,0.5,1979,2,1
C,15,1,1,0.5,2430,3,0
C,15,1,1,0.5,2102,3,1
C,15,1,1,0.6,1760,-3,0
C,15,1,1,0.6,1926,-3,1
C,15,1,1,0.6,1684,-2,0
C,15,1,1,0.6,1854,-2,1
C,15,1,1,0.6,1866,-1,0
C,15,1,1,0.6,1672,-1,1
C,15,1,1,0.6,1809,-0.5,0
C,15,1,1,0.6,1649,-0.5,1
C,15,1,1,0.6,1838,0.5,0
C,15,1,1,0.6,1560,0.5,1
C,15,1,1,0.6,1922,1,0
C,15,1,1,0.6,1563,1,1
C,15,1,1,0.6,1819,2,0
C,15,1,1,0.6,1738,2,1
C,15,1,1,0.6,2129,3,0
C,15,1,1,0.6,1668,3,1
C,15,1,1,0.7,1391,-3,0
C,15,1,1,0.7,1451,-3,1
C,15,1,1,0.7,1476,-2,0
C,15,1,1,0.7,1490,-2,1
C,15,1,1,0.7,1490,-1,0
C,15,1,1,0.7,1411,-1,1
C,15,1,1,0.7,1683,-0.5,0
C,15,1,1,0.7,1340,-0.5,1
C,15,1,1,0.7,1603,0.5,0
C,15,1,1,0.7,1236,0.5,1
C,15,1,1,0.7,1535,1,0
C,15,1,1,0.7,1273,1,1
C,15,1,1,0.7,1604,2,0
C,15,1,1,0.7,1279,2,1
C,15,1,1,0.7,1650,3,0
C,15,1,1,0.7,1335,3,1
C,15,1,1,0.8,1207,-3,0
C,15,1,1,0.8,1192,-3,1
C,15,1,1,0.8,1110,-2,0
C,15,1,1,0.8,1139,-2,1
C,15,1,1,0.8,1219,-1,0
C,15,1,1,0.8,1050,-1,1
C,15,1,1,0.8,1185,-0.5,0
C,15,1,1,0.8,942,-0.5,1
C,15,1,1,0.8,1202,0.5,0
C,15,1,1,0.8,935,0.5,1
C,15,1,1,0.8,1225,1,0
C,15,1,1,0.8,940,1,1
C,15,1,1,0.8,1206,2,0
C,15,1,1,0.8,982,2,1
