instance;weight;size;time
BPPC_8_0_5.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_7_0_2.txt_0.6.bz2.dimacs.c;3562;10;10
BPPC_6_0_2.txt_0.9.bz2.dimacs.c;1529;4;0
BPPC_4_0_2.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_8_0_2.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_8_0_9.txt_0.2.bz2.dimacs.c;0;0;0
BPPC_7_0_7.txt_0.9.bz2.dimacs.c;1801;4;0
BPPC_3_0_1.txt_0.7.bz2.dimacs.c;727;8;32
BPPC_3_0_8.txt_0.9.bz2.dimacs.c;443;5;1
BPPC_5_0_10.txt_0.9.bz2.dimacs.c;1189;3;0
BPPC_8_0_2.txt_0.6.bz2.dimacs.c;4125;9;270
BPPC_2_0_9.txt_0.4.bz2.dimacs.c;1262;15;312
BPPC_7_0_8.txt_0.8.bz2.dimacs.c;2382;5;0
BPPC_1_0_2.txt_0.9.bz2.dimacs.c;301;3;0
BPPC_1_0_10.txt_0.6.bz2.dimacs.c;601;8;0
BPPC_6_0_9.txt_0.5.bz2.dimacs.c;3486;9;1
BPPC_5_0_5.txt_0.5.bz2.dimacs.c;2815;7;0
BPPC_2_0_2.txt_0.9.bz2.dimacs.c;398;4;0
BPPC_6_0_5.txt_0.6.bz2.dimacs.c;3116;8;0
BPPC_3_0_5.txt_0.6.bz2.dimacs.c;913;10;241
BPPC_1_0_5.txt_0.8.bz2.dimacs.c;418;5;0
BPPC_2_0_1.txt_0.7.bz2.dimacs.c;649;7;2
BPPC_2_0_8.txt_0.3.bz2.dimacs.c;1660;19;2939
BPPC_2_0_5.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_6_0_2.txt_0.7.bz2.dimacs.c;2202;6;0
BPPC_6_0_3.txt_0.8.bz2.dimacs.c;1853;4;0
BPPC_3_0_6.txt_0.6.bz2.dimacs.c;902;9;266
BPPC_4_0_1.txt_0.3.bz2.dimacs.c;0;0;0
BPPC_6_0_2.txt_0.8.bz2.dimacs.c;2048;5;0
BPPC_2_0_4.txt_0.4.bz2.dimacs.c;1199;14;320
BPPC_6_0_1.txt_0.7.bz2.dimacs.c;2469;6;0
BPPC_7_0_8.txt_0.9.bz2.dimacs.c;1743;4;0
BPPC_7_0_2.txt_0.2.bz2.dimacs.c;9659;26;208922
BPPC_6_0_2.txt_0.4.bz2.dimacs.c;4331;11;5
BPPC_1_0_10.txt_0.5.bz2.dimacs.c;729;8;1
BPPC_6_0_2.txt_0.1.bz2.dimacs.c;11871;32;335
BPPC_4_0_3.txt_0.5.bz2.dimacs.c;1298;14;282052
BPPC_4_0_4.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_2_0_1.txt_0.9.bz2.dimacs.c;410;4;0
BPPC_8_0_7.txt_0.1.bz2.dimacs.c;0;0;0
