instance;weight;time
BPPC_8_0_3.txt_0.9.bz2;375;0.000885963
BPPC_8_0_1.txt_0.1.bz2;0;0
BPPC_1_0_8.txt_0.1.bz2;1919;0.293685
BPPC_4_0_4.txt_0.4.bz2;0;0
BPPC_5_0_7.txt_0.1.bz2;1363;0.00171304
BPPC_6_0_7.txt_0.9.bz2;267;0.00026083
BPPC_1_0_4.txt_0.5.bz2;604;0.00123692
BPPC_5_0_5.txt_0.1.bz2;1356;0.000794172
BPPC_6_0_5.txt_0.5.bz2;654;0.000874043
BPPC_8_0_9.txt_0.8.bz2;459;0.00641513
BPPC_2_0_8.txt_0.2.bz2;1783;20.9697
BPPC_6_0_8.txt_0.9.bz2;273;0.000250101
BPPC_3_0_4.txt_0.4.bz2;1200;14.1181
BPPC_8_0_5.txt_0.7.bz2;648;0.0167582
BPPC_5_0_8.txt_0.9.bz2;285;2.09808e-05
BPPC_5_0_5.txt_0.7.bz2;341;8.51154e-05
BPPC_7_0_8.txt_0.8.bz2;432;0.000518084
BPPC_5_0_1.txt_0.8.bz2;269;5.60284e-05
BPPC_5_0_7.txt_0.3.bz2;824;8.58307e-05
BPPC_6_0_7.txt_0.6.bz2;553;0.00088191
BPPC_8_0_3.txt_0.7.bz2;611;0.0158241
BPPC_4_0_9.txt_0.2.bz2;0;0
BPPC_7_0_10.txt_0.1.bz2;0;0
BPPC_5_0_9.txt_0.3.bz2;695;0.000427008
BPPC_5_0_3.txt_0.8.bz2;236;0.000200033
BPPC_6_0_8.txt_0.5.bz2;620;0.000835896
BPPC_1_0_7.txt_0.9.bz2;299;0.000260115
BPPC_3_0_9.txt_0.5.bz2;993;0.787452
BPPC_7_0_2.txt_0.9.bz2;285;0.000719786
BPPC_7_0_4.txt_0.8.bz2;406;0.000666857
BPPC_4_0_5.txt_0.5.bz2;1110;74.3524
BPPC_6_0_1.txt_0.1.bz2;1976;0.22014
BPPC_5_0_9.txt_0.8.bz2;285;0.000187874
BPPC_3_0_8.txt_0.9.bz2;417;0.00187516
BPPC_5_0_3.txt_0.9.bz2;221;0.000241041
BPPC_6_0_4.txt_0.3.bz2;1013;0.00512099
BPPC_8_0_10.txt_0.6.bz2;751;0.106569
BPPC_6_0_6.txt_0.9.bz2;329;0.000304937
BPPC_5_0_7.txt_0.6.bz2;418;0.000238895
BPPC_4_0_9.txt_0.4.bz2;0;0
BPPC_4_0_1.txt_0.6.bz2;927;3.0434
BPPC_8_0_5.txt_0.9.bz2;378;0.00156593
BPPC_2_0_10.txt_0.8.bz2;425;0.000664949
BPPC_4_0_7.txt_0.8.bz2;587;0.0470111
BPPC_3_0_5.txt_0.7.bz2;627;0.02298
BPPC_7_0_8.txt_0.2.bz2;1741;12.5286
BPPC_4_0_3.txt_0.7.bz2;747;0.305822
BPPC_3_0_10.txt_0.9.bz2;373;0.00185704
BPPC_3_0_5.txt_0.9.bz2;370;0.00105
BPPC_2_0_1.txt_0.3.bz2;1308;1.17648
BPPC_6_0_2.txt_0.8.bz2;347;0.000306129
BPPC_7_0_5.txt_0.2.bz2;1772;48.164
BPPC_8_0_9.txt_0.4.bz2;1268;6.70237
BPPC_1_0_9.txt_0.7.bz2;471;0.000662088
BPPC_8_0_3.txt_0.6.bz2;755;0.0938761
BPPC_3_0_4.txt_0.7.bz2;600;0.0211921
BPPC_7_0_2.txt_0.1.bz2;0;0
BPPC_1_0_1.txt_0.3.bz2;1066;0.0055089
BPPC_8_0_3.txt_0.1.bz2;0;0
BPPC_6_0_8.txt_0.1.bz2;1951;0.706554
BPPC_3_0_7.txt_0.7.bz2;600;0.021033
BPPC_8_0_4.txt_0.3.bz2;1601;206.918
BPPC_1_0_10.txt_0.4.bz2;836;0.0022049
BPPC_3_0_1.txt_0.8.bz2;506;0.00613379
BPPC_7_0_7.txt_0.5.bz2;833;0.0168419
BPPC_2_0_2.txt_0.1.bz2;0;0
BPPC_7_0_6.txt_0.9.bz2;344;0.000470877
BPPC_2_0_6.txt_0.7.bz2;549;0.00135589
BPPC_4_0_2.txt_0.2.bz2;0;0
BPPC_4_0_7.txt_0.1.bz2;0;0
BPPC_2_0_4.txt_0.2.bz2;1702;22.0532
BPPC_8_0_3.txt_0.4.bz2;1204;7.6422
BPPC_5_0_5.txt_0.9.bz2;204;0.000237942
BPPC_6_0_10.txt_0.6.bz2;539;0.000570774
BPPC_7_0_1.txt_0.4.bz2;996;0.113861
BPPC_1_0_7.txt_0.5.bz2;702;0.000701904
BPPC_8_0_8.txt_0.8.bz2;502;0.00483894
BPPC_1_0_4.txt_0.8.bz2;365;0.00022912
BPPC_5_0_4.txt_0.4.bz2;563;0.000316143
BPPC_7_0_5.txt_0.8.bz2;415;0.000920057
BPPC_1_0_4.txt_0.4.bz2;845;0.00422287
BPPC_6_0_3.txt_0.2.bz2;1386;0.0327778
BPPC_2_0_4.txt_0.3.bz2;1285;1.08718
BPPC_8_0_7.txt_0.2.bz2;0;0
BPPC_5_0_4.txt_0.9.bz2;198;0.000250101
BPPC_4_0_3.txt_0.2.bz2;0;0
BPPC_1_0_2.txt_0.2.bz2;1366;0.0349021
BPPC_3_0_4.txt_0.9.bz2;368;0.00114393
BPPC_7_0_4.txt_0.6.bz2;638;0.00471902
BPPC_7_0_6.txt_0.7.bz2;515;0.00244689
BPPC_8_0_7.txt_0.4.bz2;1204;10.0788
BPPC_2_0_8.txt_0.9.bz2;342;0.000381947
BPPC_5_0_4.txt_0.2.bz2;1033;0.000734091
BPPC_1_0_8.txt_0.8.bz2;332;0.000290871
BPPC_2_0_3.txt_0.3.bz2;1261;0.808097
BPPC_1_0_7.txt_0.1.bz2;1905;0.65044
BPPC_3_0_3.txt_0.9.bz2;370;0.00104117
BPPC_4_0_1.txt_0.3.bz2;0;0
BPPC_6_0_9.txt_0.9.bz2;268;0.000270844
BPPC_8_0_6.txt_0.4.bz2;1220;8.71774
BPPC_7_0_5.txt_0.4.bz2;995;0.109767
BPPC_1_0_3.txt_0.9.bz2;253;0.000276089
BPPC_5_0_3.txt_0.4.bz2;689;0.00012207
BPPC_7_0_1.txt_0.7.bz2;529;0.002388
BPPC_5_0_7.txt_0.9.bz2;225;0.000117064
BPPC_1_0_5.txt_0.8.bz2;432;0.000352144
BPPC_1_0_6.txt_0.2.bz2;1230;0.0563431
BPPC_7_0_10.txt_0.6.bz2;697;0.00486898
BPPC_5_0_1.txt_0.9.bz2;211;0.000203848
BPPC_5_0_7.txt_0.8.bz2;356;0.000176907
BPPC_6_0_9.txt_0.6.bz2;524;0.000752926
BPPC_5_0_10.txt_0.6.bz2;396;0.000194073
BPPC_3_0_2.txt_0.5.bz2;981;0.687813
BPPC_1_0_5.txt_0.3.bz2;989;0.0118308
BPPC_3_0_2.txt_0.9.bz2;358;0.00173402
BPPC_2_0_3.txt_0.7.bz2;503;0.00185513
BPPC_6_0_1.txt_0.5.bz2;632;0.000895977
BPPC_7_0_2.txt_0.2.bz2;1693;30.1896
BPPC_5_0_1.txt_0.2.bz2;881;0.000521183
BPPC_6_0_1.txt_0.2.bz2;1502;0.0335
BPPC_6_0_5.txt_0.6.bz2;557;0.000277996
BPPC_4_0_6.txt_0.7.bz2;700;0.394402
BPPC_1_0_1.txt_0.1.bz2;1949;0.158772
BPPC_3_0_7.txt_0.5.bz2;896;0.991515
BPPC_7_0_5.txt_0.5.bz2;765;0.0158191
BPPC_7_0_9.txt_0.2.bz2;1787;24.9684
BPPC_2_0_1.txt_0.4.bz2;1010;0.097765
BPPC_8_0_3.txt_0.5.bz2;983;0.56054
BPPC_8_0_2.txt_0.5.bz2;985;0.531616
BPPC_6_0_2.txt_0.5.bz2;651;0.00102496
BPPC_1_0_6.txt_0.7.bz2;422;0.000478029
BPPC_8_0_7.txt_0.7.bz2;611;0.0182462
BPPC_6_0_4.txt_0.7.bz2;413;0.00066185
BPPC_4_0_4.txt_0.8.bz2;574;0.044574
BPPC_5_0_2.txt_0.6.bz2;465;0.000349045
BPPC_2_0_9.txt_0.5.bz2;811;0.0191431
BPPC_5_0_3.txt_0.6.bz2;447;0.000233173
BPPC_3_0_6.txt_0.8.bz2;485;0.00511909
BPPC_3_0_7.txt_0.8.bz2;548;0.00542402
BPPC_3_0_5.txt_0.3.bz2;1542;379.242
BPPC_8_0_1.txt_0.4.bz2;1182;7.36887
BPPC_5_0_8.txt_0.1.bz2;1427;0.000888824
BPPC_8_0_10.txt_0.8.bz2;483;0.00536609
BPPC_8_0_5.txt_0.4.bz2;1183;6.68793
BPPC_2_0_1.txt_0.2.bz2;1657;43.9294
BPPC_3_0_1.txt_0.2.bz2;0;0
BPPC_8_0_5.txt_0.6.bz2;749;0.0917339
BPPC_4_0_1.txt_0.8.bz2;590;0.0472291
BPPC_1_0_4.txt_0.3.bz2;1015;0.00809717
BPPC_6_0_7.txt_0.8.bz2;368;0.000534058
BPPC_2_0_8.txt_0.3.bz2;1269;1.23642
BPPC_8_0_9.txt_0.3.bz2;1534;277.158
BPPC_5_0_7.txt_0.5.bz2;477;0.000360012
BPPC_6_0_10.txt_0.7.bz2;460;0.000339985
BPPC_1_0_2.txt_0.8.bz2;366;0.000784874
BPPC_5_0_5.txt_0.6.bz2;350;0.000245094
BPPC_5_0_3.txt_0.1.bz2;1410;0.00179601
BPPC_3_0_7.txt_0.9.bz2;353;0.00108123
BPPC_1_0_1.txt_0.8.bz2;323;0.000306845
BPPC_2_0_10.txt_0.4.bz2;1063;0.0979941
BPPC_7_0_2.txt_0.8.bz2;428;0.000669003
BPPC_8_0_6.txt_0.9.bz2;436;0.00127602
BPPC_1_0_9.txt_0.9.bz2;276;0.000586987
BPPC_4_0_1.txt_0.2.bz2;0;0
BPPC_8_0_2.txt_0.9.bz2;376;0.001091
BPPC_1_0_4.txt_0.1.bz2;2119;0.30246
BPPC_6_0_4.txt_0.4.bz2;867;0.00112319
BPPC_2_0_2.txt_0.7.bz2;501;0.00229502
BPPC_1_0_2.txt_0.3.bz2;1024;0.00917292
BPPC_8_0_8.txt_0.5.bz2;931;0.802083
BPPC_7_0_3.txt_0.3.bz2;1252;0.797422
