instance;weight;size;nodes;n_cut_weight;avg_cc;avg_min_k;avg_ratio;time
BPPC_8_0_3.txt_0.9.bz2;375;4;1314;0;4.3382;2.22401;0.490745;37
BPPC_8_0_1.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_1_0_8.txt_0.1.bz2;1919;29;833903;0;23.9336;21.6017;0.902702;1662
BPPC_4_0_4.txt_0.4.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_5_0_7.txt_0.1.bz2;1363;23;2259;0;15.7286;13.3745;0.830408;1
BPPC_6_0_7.txt_0.9.bz2;267;3;103;0;3.83965;1.70163;0.440962;1
BPPC_1_0_4.txt_0.5.bz2;604;9;2625;0;7.46472;5.20113;0.692393;3
BPPC_5_0_5.txt_0.1.bz2;1356;21;1364;0;16.4593;14.0041;0.831937;1
BPPC_6_0_5.txt_0.5.bz2;654;8;1893;0;7.81703;5.56569;0.709206;4
BPPC_8_0_9.txt_0.8.bz2;459;5;9567;0;5.25195;3.1217;0.589014;46
BPPC_2_0_8.txt_0.2.bz2;1783;24;43865609;0;21.0041;18.6326;0.888285;110511
BPPC_6_0_8.txt_0.9.bz2;273;3;79;0;4.07083;1.925;0.476134;1
BPPC_3_0_4.txt_0.4.bz2;1200;16;27255427;0;12.8344;10.5227;0.822197;60004
BPPC_8_0_5.txt_0.7.bz2;648;7;31952;0;6.80057;4.63108;0.673598;96
BPPC_5_0_8.txt_0.9.bz2;285;3;31;0;3.82545;1.52768;0.4071;0
BPPC_5_0_5.txt_0.7.bz2;341;5;120;0;4.47174;2.23186;0.490985;0
BPPC_7_0_8.txt_0.8.bz2;432;5;1138;0;4.88974;2.7301;0.546998;10
BPPC_5_0_1.txt_0.8.bz2;269;4;79;0;3.8649;1.63955;0.416644;0
BPPC_5_0_7.txt_0.3.bz2;824;11;427;0;8.57786;6.13099;0.691174;0
BPPC_6_0_7.txt_0.6.bz2;553;7;868;0;6.55508;4.3083;0.654012;1
BPPC_8_0_3.txt_0.7.bz2;611;8;35992;0;6.65592;4.4803;0.665881;73
BPPC_4_0_9.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_7_0_10.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_5_0_9.txt_0.3.bz2;695;10;813;0;9.08347;6.76627;0.7361;29
BPPC_5_0_3.txt_0.8.bz2;236;3;70;0;4.11894;1.85915;0.444931;0
BPPC_6_0_8.txt_0.5.bz2;620;8;2187;0;7.68568;5.42734;0.701634;3
BPPC_1_0_7.txt_0.9.bz2;299;4;91;0;3.83495;1.62362;0.419476;2
BPPC_3_0_9.txt_0.5.bz2;993;12;1540139;0;10.3535;8.08463;0.781781;3049
BPPC_7_0_2.txt_0.9.bz2;285;4;402;0;3.99916;1.87291;0.451907;32
BPPC_7_0_4.txt_0.8.bz2;406;5;1378;0;4.79256;2.61435;0.537242;13
BPPC_4_0_5.txt_0.5.bz2;1110;13;129920941;0;11.2006;8.93166;0.799114;326519
BPPC_6_0_1.txt_0.1.bz2;1976;31;444321;0;26.1965;23.8553;0.911158;1026
BPPC_5_0_9.txt_0.8.bz2;285;4;45;0;4.31715;2.01846;0.455259;0
BPPC_3_0_8.txt_0.9.bz2;417;5;1368;0;4.26969;2.1772;0.485857;41
BPPC_5_0_3.txt_0.9.bz2;221;3;27;0;3.66369;1.47619;0.399901;3
