instance;weight;time
test_500_1000_r0.001-0.dat.bz2;2000;0.0116
test_1000_1000_r0.01-2.dat.bz2;0;0
test_500_1000_r0.002-1.dat.bz2;1880;1.71364
test_1000_2000_r0.01-3.dat.bz2;0;0
test_1000_1000_r0.001-9.dat.bz2;2280;0.0144641
test_500_1000_r0.001-9.dat.bz2;1980;0.000998974
test_1000_1000_r0.005-6.dat.bz2;0;0
test_500_1000_r0.002-9.dat.bz2;1910;0.0499959
test_500_2000_r0.002-4.dat.bz2;3290;37.6628
test_500_2000_r0.02-4.dat.bz2;0;0
test_1000_1000_r0.01-9.dat.bz2;0;0
test_500_2000_r0.002-9.dat.bz2;3290;0.133255
test_1000_2000_r0.01-7.dat.bz2;0;0
test_500_2000_r0.01-7.dat.bz2;0;0
test_500_2000_r0.01-8.dat.bz2;0;0
test_500_2000_r0.01-9.dat.bz2;0;0
test_1000_1000_r0.005-0.dat.bz2;0;0
test_1000_2000_r0.02-4.dat.bz2;0;0
test_500_2000_r0.02-9.dat.bz2;0;0
test_1000_2000_r0.005-4.dat.bz2;0;0
test_500_2000_r0.01-5.dat.bz2;0;0
test_500_1000_r0.001-6.dat.bz2;1860;0.00619507
test_500_2000_r0.005-6.dat.bz2;0;0
test_1000_1000_r0.002-3.dat.bz2;0;0
test_1000_1000_r0.05-2.dat.bz2;0;0
test_1000_2000_r0.001-0.dat.bz2;3920;54.625
test_1000_2000_r0.001-9.dat.bz2;3840;1.61096
test_1000_2000_r0.01-0.dat.bz2;0;0
test_1000_1000_r0.002-2.dat.bz2;2320;8.66975
test_500_2000_r0.005-4.dat.bz2;0;0
test_500_2000_r0.01-2.dat.bz2;0;0
test_500_1000_r0.002-5.dat.bz2;1960;0.0226369
test_1000_1000_r0.01-7.dat.bz2;0;0
test_1000_1000_r0.005-9.dat.bz2;0;0
test_1000_1000_r0.05-3.dat.bz2;0;0
test_500_1000_r0.002-2.dat.bz2;1890;0.17789
test_1000_2000_r0.001-3.dat.bz2;0;0
test_1000_1000_r0.01-4.dat.bz2;0;0
test_1000_1000_r0.01-1.dat.bz2;0;0
test_500_1000_r0.005-8.dat.bz2;1900;7.21101
test_500_1000_r0.001-5.dat.bz2;1980;0.00059104
test_1000_2000_r0.05-8.dat.bz2;0;0
test_500_2000_r0.02-3.dat.bz2;0;0
test_1000_1000_r0.001-1.dat.bz2;2310;31.0879
test_500_2000_r0.001-2.dat.bz2;3330;0.0759809
test_500_2000_r0.01-6.dat.bz2;0;0
test_1000_1000_r0.05-9.dat.bz2;0;0
test_1000_2000_r0.01-9.dat.bz2;0;0
test_1000_2000_r0.005-5.dat.bz2;0;0
test_1000_1000_r0.05-4.dat.bz2;0;0
test_1000_2000_r0.02-3.dat.bz2;0;0
test_1000_2000_r0.005-1.dat.bz2;0;0
test_500_2000_r0.02-0.dat.bz2;0;0
test_1000_2000_r0.005-8.dat.bz2;0;0
test_500_2000_r0.001-6.dat.bz2;3350;0.517193
test_500_2000_r0.005-1.dat.bz2;0;0
test_1000_1000_r0.005-5.dat.bz2;0;0
test_500_2000_r0.005-5.dat.bz2;3200;497.481
test_1000_1000_r0.02-0.dat.bz2;0;0
test_500_2000_r0.002-5.dat.bz2;3290;1.05444
test_1000_2000_r0.01-1.dat.bz2;0;0
test_500_1000_r0.005-0.dat.bz2;1910;7.44228
test_500_1000_r0.01-9.dat.bz2;0;0
test_1000_2000_r0.02-6.dat.bz2;0;0
test_500_2000_r0.05-6.dat.bz2;0;0
test_500_1000_r0.001-1.dat.bz2;1920;0.00189495
test_500_1000_r0.002-8.dat.bz2;1910;0.22311
test_500_1000_r0.05-0.dat.bz2;0;0
test_1000_2000_r0.002-0.dat.bz2;0;0
test_1000_2000_r0.002-9.dat.bz2;0;0
test_500_1000_r0.02-2.dat.bz2;0;0
test_1000_1000_r0.05-6.dat.bz2;0;0
test_1000_1000_r0.002-5.dat.bz2;2190;56.4203
test_500_1000_r0.02-5.dat.bz2;0;0
test_1000_1000_r0.005-3.dat.bz2;0;0
test_500_2000_r0.002-2.dat.bz2;3340;15.2243
test_1000_1000_r0.01-0.dat.bz2;0;0
test_1000_1000_r0.005-8.dat.bz2;0;0
test_500_2000_r0.001-4.dat.bz2;3370;0.0513651
test_500_1000_r0.05-1.dat.bz2;0;0
test_1000_2000_r0.002-8.dat.bz2;0;0
test_500_2000_r0.001-9.dat.bz2;3300;1.78817
test_500_1000_r0.02-0.dat.bz2;0;0
test_500_2000_r0.001-3.dat.bz2;3350;0.00125813
test_500_2000_r0.002-6.dat.bz2;0;0
test_1000_1000_r0.01-3.dat.bz2;0;0
test_500_1000_r0.02-9.dat.bz2;0;0
test_500_2000_r0.001-1.dat.bz2;3370;46.4653
test_1000_2000_r0.01-2.dat.bz2;0;0
test_1000_2000_r0.002-2.dat.bz2;0;0
test_1000_2000_r0.005-3.dat.bz2;0;0
test_1000_1000_r0.02-3.dat.bz2;0;0
test_500_1000_r0.05-9.dat.bz2;0;0
test_500_1000_r0.005-9.dat.bz2;1890;58.8807
test_500_2000_r0.002-0.dat.bz2;3310;11.3426
test_500_1000_r0.02-1.dat.bz2;0;0
test_1000_1000_r0.002-7.dat.bz2;2330;210.473
test_500_1000_r0.02-6.dat.bz2;0;0
test_1000_1000_r0.001-0.dat.bz2;2360;0.231174
test_500_1000_r0.01-3.dat.bz2;1830;296.637
test_1000_1000_r0.01-8.dat.bz2;0;0
test_500_1000_r0.005-2.dat.bz2;1880;141.059
test_500_1000_r0.02-7.dat.bz2;0;0
test_500_2000_r0.02-7.dat.bz2;0;0
test_1000_1000_r0.05-1.dat.bz2;0;0
test_500_1000_r0.001-2.dat.bz2;1970;0.00757909
test_1000_2000_r0.05-6.dat.bz2;0;0
test_1000_1000_r0.05-7.dat.bz2;0;0
test_500_1000_r0.002-3.dat.bz2;1910;0.146618
test_1000_2000_r0.002-5.dat.bz2;0;0
test_1000_2000_r0.01-4.dat.bz2;0;0
test_1000_2000_r0.05-9.dat.bz2;0;0
test_500_1000_r0.005-7.dat.bz2;1920;13.383
test_500_2000_r0.005-9.dat.bz2;0;0
test_1000_2000_r0.002-7.dat.bz2;0;0
test_500_1000_r0.001-4.dat.bz2;1970;0.000765085
test_1000_1000_r0.005-1.dat.bz2;0;0
test_500_2000_r0.05-4.dat.bz2;0;0
test_500_2000_r0.01-1.dat.bz2;0;0
test_1000_1000_r0.05-0.dat.bz2;0;0
test_500_1000_r0.01-8.dat.bz2;1870;468.777
test_500_2000_r0.002-8.dat.bz2;0;0
test_500_2000_r0.002-1.dat.bz2;3320;0.164721
test_1000_2000_r0.01-6.dat.bz2;0;0
test_1000_2000_r0.05-3.dat.bz2;0;0
test_1000_2000_r0.02-8.dat.bz2;0;0
test_1000_2000_r0.02-2.dat.bz2;0;0
test_500_1000_r0.05-4.dat.bz2;0;0
test_1000_1000_r0.002-0.dat.bz2;2400;16.8207
test_1000_2000_r0.02-5.dat.bz2;0;0
test_500_1000_r0.02-8.dat.bz2;0;0
test_1000_2000_r0.001-4.dat.bz2;0;0
test_500_2000_r0.01-0.dat.bz2;0;0
test_500_2000_r0.002-7.dat.bz2;3330;166.117
test_500_1000_r0.01-5.dat.bz2;0;0
test_500_2000_r0.005-8.dat.bz2;0;0
test_500_1000_r0.02-3.dat.bz2;0;0
test_1000_2000_r0.01-5.dat.bz2;0;0
test_1000_2000_r0.002-3.dat.bz2;0;0
test_1000_2000_r0.05-4.dat.bz2;0;0
test_1000_1000_r0.02-1.dat.bz2;0;0
test_1000_2000_r0.005-0.dat.bz2;0;0
test_1000_2000_r0.01-8.dat.bz2;0;0
test_1000_1000_r0.005-4.dat.bz2;0;0
test_500_2000_r0.05-3.dat.bz2;0;0
test_1000_1000_r0.01-6.dat.bz2;0;0
test_500_1000_r0.001-3.dat.bz2;2010;0.0113449
test_1000_2000_r0.05-1.dat.bz2;0;0
test_1000_2000_r0.001-7.dat.bz2;3960;10.8374
test_500_2000_r0.02-2.dat.bz2;0;0
test_1000_1000_r0.005-7.dat.bz2;0;0
test_1000_2000_r0.02-1.dat.bz2;0;0
test_500_1000_r0.01-4.dat.bz2;1790;193.331
test_500_2000_r0.001-5.dat.bz2;3330;0.188767
test_1000_2000_r0.02-7.dat.bz2;0;0
test_1000_1000_r0.02-5.dat.bz2;0;0
test_500_1000_r0.01-6.dat.bz2;1880;54.074
test_500_2000_r0.005-7.dat.bz2;0;0
test_1000_2000_r0.05-5.dat.bz2;0;0
test_500_2000_r0.02-6.dat.bz2;0;0
test_1000_2000_r0.002-6.dat.bz2;0;0
test_500_1000_r0.002-4.dat.bz2;1980;40.0876
test_1000_2000_r0.05-7.dat.bz2;0;0
test_1000_1000_r0.02-4.dat.bz2;0;0
test_1000_1000_r0.02-6.dat.bz2;0;0
test_1000_1000_r0.05-5.dat.bz2;0;0
test_1000_2000_r0.001-2.dat.bz2;0;0
