instance;weight;time
test_500_1000_r0.001-0.dat.bz2;5521;0.000361919
test_1000_1000_r0.01-2.dat.bz2;0;0
test_500_1000_r0.002-1.dat.bz2;5542;0.0198481
test_1000_2000_r0.01-3.dat.bz2;0;0
test_1000_1000_r0.001-9.dat.bz2;7664;0.239766
test_500_1000_r0.001-9.dat.bz2;5394;0.0315771
test_1000_1000_r0.005-6.dat.bz2;0;0
test_500_1000_r0.002-9.dat.bz2;5407;0.0229731
test_500_2000_r0.002-4.dat.bz2;7268;4.81688
test_500_2000_r0.02-4.dat.bz2;0;0
test_1000_1000_r0.01-9.dat.bz2;0;0
test_500_2000_r0.002-9.dat.bz2;8017;1.97108
test_1000_2000_r0.01-7.dat.bz2;0;0
test_500_2000_r0.01-7.dat.bz2;0;0
test_500_2000_r0.01-8.dat.bz2;0;0
test_500_2000_r0.01-9.dat.bz2;0;0
test_1000_1000_r0.005-0.dat.bz2;7117;161.934
test_1000_2000_r0.02-4.dat.bz2;0;0
test_500_2000_r0.02-9.dat.bz2;0;0
test_1000_2000_r0.005-4.dat.bz2;0;0
test_500_2000_r0.01-5.dat.bz2;0;0
test_500_1000_r0.001-6.dat.bz2;5222;0.00629306
test_500_2000_r0.005-6.dat.bz2;7098;20.3395
test_1000_1000_r0.002-3.dat.bz2;8057;1.11367
test_1000_1000_r0.05-2.dat.bz2;0;0
test_1000_2000_r0.001-0.dat.bz2;10308;0.297784
test_1000_2000_r0.001-9.dat.bz2;11029;183.095
test_1000_2000_r0.01-0.dat.bz2;0;0
test_1000_1000_r0.002-2.dat.bz2;7151;1.72049
test_500_2000_r0.005-4.dat.bz2;6948;50.9212
test_500_2000_r0.01-2.dat.bz2;0;0
test_500_1000_r0.002-5.dat.bz2;5578;0.038075
test_1000_1000_r0.01-7.dat.bz2;0;0
test_1000_1000_r0.005-9.dat.bz2;0;0
test_1000_1000_r0.05-3.dat.bz2;0;0
test_500_1000_r0.002-2.dat.bz2;5863;0.00648212
test_1000_2000_r0.001-3.dat.bz2;0;0
test_1000_1000_r0.01-4.dat.bz2;0;0
test_1000_1000_r0.01-1.dat.bz2;0;0
