instance;weight;size;nodes;n_cut_weight;avg_cc;avg_min_k;avg_ratio;time
test_500_1000_r0.001-0.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_1000_r0.01-2.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_1000_r0.002-1.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_2000_r0.01-3.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_1000_r0.001-9.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_1000_r0.001-9.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_1000_r0.005-6.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_1000_r0.002-9.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_2000_r0.002-4.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_2000_r0.02-4.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_1000_r0.01-9.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_2000_r0.002-9.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_2000_r0.01-7.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_2000_r0.01-7.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_2000_r0.01-8.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_2000_r0.01-9.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_1000_r0.005-0.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_2000_r0.02-4.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_2000_r0.02-9.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_2000_r0.005-4.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_2000_r0.01-5.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_1000_r0.001-6.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_2000_r0.005-6.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_1000_r0.002-3.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_1000_r0.05-2.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_2000_r0.001-0.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_2000_r0.001-9.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_2000_r0.01-0.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_1000_1000_r0.002-2.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
test_500_2000_r0.005-4.dat.bz2;0;0;0;0;0.0;0.0;0.0;0
