instance;weight;time;steps
BPPC_8_0_3.txt_0.9.bz2;1030;0.000417948;33
BPPC_8_0_1.txt_0.1.bz2;1040;0;0
BPPC_1_0_8.txt_0.1.bz2;210;4.50611e-05;7
BPPC_4_0_4.txt_0.4.bz2;220;0.00110888;22
BPPC_5_0_7.txt_0.1.bz2;1030;0.000345945;43
BPPC_6_0_7.txt_0.9.bz2;1029;0.000109911;57
BPPC_1_0_4.txt_0.5.bz2;200;0.000320911;33
BPPC_5_0_5.txt_0.1.bz2;1030;0.000306845;41
BPPC_6_0_5.txt_0.5.bz2;1030;0.0001719;42
BPPC_8_0_9.txt_0.8.bz2;1030;0.000504971;53
BPPC_2_0_8.txt_0.2.bz2;210;0.000758171;22
BPPC_6_0_8.txt_0.9.bz2;1029;0.000115871;53
BPPC_3_0_4.txt_0.4.bz2;220;0.00113487;59
BPPC_8_0_5.txt_0.7.bz2;1030;0.000505924;50
BPPC_5_0_8.txt_0.9.bz2;1026;0.000463009;15
BPPC_5_0_5.txt_0.7.bz2;1030;0.000123024;28
BPPC_7_0_8.txt_0.8.bz2;1030;0.000430107;29
BPPC_5_0_1.txt_0.8.bz2;1030;6.60419e-05;9
BPPC_5_0_7.txt_0.3.bz2;1030;0.000139952;28
BPPC_6_0_7.txt_0.6.bz2;1030;0.000156879;32
BPPC_8_0_3.txt_0.7.bz2;1030;0.000538826;60
BPPC_4_0_9.txt_0.2.bz2;220;0.000322104;15
BPPC_7_0_10.txt_0.1.bz2;1040;0;0
BPPC_5_0_9.txt_0.3.bz2;1030;0.000280857;27
BPPC_5_0_3.txt_0.8.bz2;1027;8.51154e-05;52
BPPC_6_0_8.txt_0.5.bz2;1030;0.000622988;31
BPPC_1_0_7.txt_0.9.bz2;180;0.000128031;26
BPPC_3_0_9.txt_0.5.bz2;210;0.000270128;100
BPPC_7_0_2.txt_0.9.bz2;1030;0.000203848;18
BPPC_7_0_4.txt_0.8.bz2;1030;0.000230074;32
BPPC_4_0_5.txt_0.5.bz2;220;0.000788927;33
BPPC_6_0_1.txt_0.1.bz2;1030;0.00045085;70
BPPC_5_0_9.txt_0.8.bz2;1029;0.000232935;54
BPPC_3_0_8.txt_0.9.bz2;190;0.000492096;116
BPPC_5_0_3.txt_0.9.bz2;1029;6.81877e-05;16
BPPC_6_0_4.txt_0.3.bz2;1030;0.000650883;50
BPPC_8_0_10.txt_0.6.bz2;1030;0.00183892;83
BPPC_6_0_6.txt_0.9.bz2;1030;0.000299931;11
BPPC_5_0_7.txt_0.6.bz2;1030;0.000272036;17
BPPC_4_0_9.txt_0.4.bz2;220;0.000252008;14
BPPC_4_0_1.txt_0.6.bz2;220;0.000633955;55
BPPC_8_0_5.txt_0.9.bz2;1030;0.000571966;23
BPPC_2_0_10.txt_0.8.bz2;194;0.00030303;148
BPPC_4_0_7.txt_0.8.bz2;200;0.00446391;1361
BPPC_3_0_5.txt_0.7.bz2;200;0.00069809;221
BPPC_7_0_8.txt_0.2.bz2;1040;0.00050807;105
BPPC_4_0_3.txt_0.7.bz2;210;0.00115299;98
BPPC_3_0_10.txt_0.9.bz2;190;0.000732183;231
BPPC_3_0_5.txt_0.9.bz2;190;0.000696898;148
BPPC_2_0_1.txt_0.3.bz2;210;0.000156164;9
BPPC_6_0_2.txt_0.8.bz2;1030;0.000272036;64
BPPC_7_0_5.txt_0.2.bz2;1040;0;0
BPPC_8_0_9.txt_0.4.bz2;1040;0;0
BPPC_1_0_9.txt_0.7.bz2;190;0.000119925;32
BPPC_8_0_3.txt_0.6.bz2;1030;0.000877857;73
BPPC_3_0_4.txt_0.7.bz2;200;0.000966787;296
BPPC_7_0_2.txt_0.1.bz2;1040;0;0
BPPC_1_0_1.txt_0.3.bz2;200;0.000359058;24
BPPC_8_0_3.txt_0.1.bz2;1040;0;0
BPPC_6_0_8.txt_0.1.bz2;1040;0;0
BPPC_3_0_7.txt_0.7.bz2;207;0.00099802;82
BPPC_8_0_4.txt_0.3.bz2;1040;0;0
BPPC_1_0_10.txt_0.4.bz2;210;0.000159979;52
BPPC_3_0_1.txt_0.8.bz2;200;0.000651121;299
BPPC_7_0_7.txt_0.5.bz2;1030;0.000354052;61
BPPC_2_0_2.txt_0.1.bz2;210;0.000934124;30
BPPC_7_0_6.txt_0.9.bz2;1030;0.000393152;83
BPPC_2_0_6.txt_0.7.bz2;200;0.0009799;53
BPPC_4_0_2.txt_0.2.bz2;220;0.000305891;14
BPPC_4_0_7.txt_0.1.bz2;220;0.00112891;16
BPPC_2_0_4.txt_0.2.bz2;210;0.00069499;28
BPPC_8_0_3.txt_0.4.bz2;1040;0;0
BPPC_5_0_5.txt_0.9.bz2;1007;0.00028491;16
BPPC_6_0_10.txt_0.6.bz2;1030;0.000149965;29
BPPC_7_0_1.txt_0.4.bz2;1040;0.000565052;82
BPPC_1_0_7.txt_0.5.bz2;200;0.000110865;24
BPPC_8_0_8.txt_0.8.bz2;1030;0.00225496;80
BPPC_1_0_4.txt_0.8.bz2;190;0.000298977;31
BPPC_5_0_4.txt_0.4.bz2;1030;0.00035882;42
BPPC_7_0_5.txt_0.8.bz2;1030;0.000386;12
BPPC_1_0_4.txt_0.4.bz2;208;0.000283003;22
BPPC_6_0_3.txt_0.2.bz2;1040;0;0
BPPC_2_0_4.txt_0.3.bz2;210;0.000178099;20
BPPC_8_0_7.txt_0.2.bz2;1040;0;0
BPPC_5_0_4.txt_0.9.bz2;1021;7.20024e-05;13
BPPC_4_0_3.txt_0.2.bz2;220;0.000133991;14
BPPC_1_0_2.txt_0.2.bz2;210;0.000647068;10
BPPC_3_0_4.txt_0.9.bz2;190;0.000390053;138
BPPC_7_0_4.txt_0.6.bz2;1030;0.00134802;34
BPPC_7_0_6.txt_0.7.bz2;1030;0.000871897;56
BPPC_8_0_7.txt_0.4.bz2;1040;0;0
BPPC_2_0_8.txt_0.9.bz2;180;0.00143886;115
BPPC_5_0_4.txt_0.2.bz2;1030;0.00107408;44
BPPC_1_0_8.txt_0.8.bz2;189;0.000121117;25
BPPC_2_0_3.txt_0.3.bz2;220;0.000737906;60
BPPC_1_0_7.txt_0.1.bz2;210;0.000103951;12
BPPC_3_0_3.txt_0.9.bz2;190;0.00168395;163
BPPC_4_0_1.txt_0.3.bz2;220;0.000542879;10
BPPC_6_0_9.txt_0.9.bz2;1030;0.0010221;41
BPPC_8_0_6.txt_0.4.bz2;1040;0.00167418;4
BPPC_7_0_5.txt_0.4.bz2;1040;0.000392199;70
BPPC_1_0_3.txt_0.9.bz2;180;0.000740051;36
BPPC_5_0_3.txt_0.4.bz2;1030;0.000102997;17
BPPC_7_0_1.txt_0.7.bz2;1030;0.00135779;32
BPPC_5_0_7.txt_0.9.bz2;1003;4.69685e-05;9
BPPC_1_0_5.txt_0.8.bz2;183;0.000143051;65
BPPC_1_0_6.txt_0.2.bz2;210;0.000184774;22
BPPC_7_0_10.txt_0.6.bz2;1030;0.000324965;56
BPPC_5_0_1.txt_0.9.bz2;1003;8.39233e-05;22
BPPC_5_0_7.txt_0.8.bz2;1029;8.01086e-05;44
BPPC_6_0_9.txt_0.6.bz2;1030;0.000378132;30
BPPC_5_0_10.txt_0.6.bz2;1030;0.000272036;28
BPPC_3_0_2.txt_0.5.bz2;210;0.000988007;104
BPPC_1_0_5.txt_0.3.bz2;210;0.000255108;9
BPPC_3_0_2.txt_0.9.bz2;190;0.000914812;209
BPPC_2_0_3.txt_0.7.bz2;200;0.000396967;74
BPPC_6_0_1.txt_0.5.bz2;1030;0.000169039;29
BPPC_7_0_2.txt_0.2.bz2;1040;0;0
BPPC_5_0_1.txt_0.2.bz2;1030;0.000432968;61
BPPC_6_0_1.txt_0.2.bz2;1030;0.000420809;62
BPPC_6_0_5.txt_0.6.bz2;1030;0.000158072;29
BPPC_4_0_6.txt_0.7.bz2;210;0.00136709;160
BPPC_1_0_1.txt_0.1.bz2;210;5.10216e-05;11
BPPC_3_0_7.txt_0.5.bz2;210;0.000479937;28
BPPC_7_0_5.txt_0.5.bz2;1040;0.00169802;60
BPPC_7_0_9.txt_0.2.bz2;1040;0;0
BPPC_2_0_1.txt_0.4.bz2;210;0.00014782;11
BPPC_8_0_3.txt_0.5.bz2;1030;0.00180697;95
BPPC_8_0_2.txt_0.5.bz2;1030;0.00167704;122
BPPC_6_0_2.txt_0.5.bz2;1030;0.000388861;59
BPPC_1_0_6.txt_0.7.bz2;200;0.000243902;71
BPPC_8_0_7.txt_0.7.bz2;1030;0.000576973;85
BPPC_6_0_4.txt_0.7.bz2;1030;0.000165939;66
BPPC_4_0_4.txt_0.8.bz2;200;0.00321007;427
BPPC_5_0_2.txt_0.6.bz2;1030;0.000239849;55
BPPC_2_0_9.txt_0.5.bz2;200;0.000263929;35
BPPC_5_0_3.txt_0.6.bz2;1030;0.000235081;11
BPPC_3_0_6.txt_0.8.bz2;200;0.00122595;140
BPPC_3_0_7.txt_0.8.bz2;200;0.000516891;118
BPPC_3_0_5.txt_0.3.bz2;210;0.00105596;36
BPPC_8_0_1.txt_0.4.bz2;1040;0;0
BPPC_5_0_8.txt_0.1.bz2;1030;0.000187874;53
BPPC_8_0_10.txt_0.8.bz2;1030;0.00107789;28
BPPC_8_0_5.txt_0.4.bz2;1040;0;0
BPPC_2_0_1.txt_0.2.bz2;210;0.000421047;24
BPPC_3_0_1.txt_0.2.bz2;220;0.000330925;7
BPPC_8_0_5.txt_0.6.bz2;1030;0.00153399;70
BPPC_4_0_1.txt_0.8.bz2;200;0.00391698;703
BPPC_1_0_4.txt_0.3.bz2;210;0.000216961;9
BPPC_6_0_7.txt_0.8.bz2;1030;0.000942945;32
BPPC_2_0_8.txt_0.3.bz2;210;0.000149965;11
BPPC_8_0_9.txt_0.3.bz2;1040;0;0
BPPC_5_0_7.txt_0.5.bz2;1030;0.000109911;22
BPPC_6_0_10.txt_0.7.bz2;1030;0.000272036;13
BPPC_1_0_2.txt_0.8.bz2;188;0.00140309;50
BPPC_5_0_5.txt_0.6.bz2;1030;0.000571012;59
BPPC_5_0_3.txt_0.1.bz2;1030;0.000638008;43
BPPC_3_0_7.txt_0.9.bz2;190;0.000494003;98
BPPC_1_0_1.txt_0.8.bz2;186;0.00031209;59
BPPC_2_0_10.txt_0.4.bz2;0;0;0
BPPC_7_0_2.txt_0.8.bz2;1030;0.000394106;66
BPPC_8_0_6.txt_0.9.bz2;1030;0.000564098;11
BPPC_1_0_9.txt_0.9.bz2;186;0.000111103;14
BPPC_4_0_1.txt_0.2.bz2;220;0.00108099;14
BPPC_8_0_2.txt_0.9.bz2;1030;0.000458956;138
BPPC_1_0_4.txt_0.1.bz2;210;0.000137091;16
BPPC_6_0_4.txt_0.4.bz2;1030;0.00138783;62
BPPC_2_0_2.txt_0.7.bz2;200;0.000263929;72
BPPC_1_0_2.txt_0.3.bz2;210;0.00022006;9
BPPC_8_0_8.txt_0.5.bz2;1040;0;0
BPPC_7_0_3.txt_0.3.bz2;1040;0;0
BPPC_7_0_5.txt_0.9.bz2;1030;0.000339031;56
BPPC_4_0_9.txt_0.6.bz2;220;0.00239801;251
BPPC_3_0_9.txt_0.6.bz2;210;0.000499964;68
BPPC_6_0_9.txt_0.2.bz2;1030;0.00051403;75
BPPC_1_0_3.txt_0.3.bz2;210;0.000307083;8
BPPC_5_0_5.txt_0.2.bz2;1030;0.000912905;40
BPPC_2_0_2.txt_0.5.bz2;210;0.000864983;57
BPPC_5_0_6.txt_0.2.bz2;1030;0.000309944;36
BPPC_8_0_5.txt_0.8.bz2;1030;0.000571966;87
BPPC_7_0_6.txt_0.2.bz2;1040;0.000593901;127
BPPC_4_0_6.txt_0.9.bz2;190;0.0022428;792
BPPC_1_0_9.txt_0.6.bz2;196;0.00015521;61
BPPC_7_0_6.txt_0.8.bz2;1030;0.000280857;87
BPPC_5_0_8.txt_0.4.bz2;1030;0.000307083;37
BPPC_8_0_10.txt_0.2.bz2;1040;0;0
BPPC_6_0_9.txt_0.5.bz2;1030;0.00237203;36
BPPC_3_0_6.txt_0.4.bz2;210;0.000607967;77
BPPC_1_0_10.txt_0.1.bz2;220;0.000139952;10
BPPC_4_0_5.txt_0.3.bz2;220;0.000137091;11
BPPC_5_0_6.txt_0.3.bz2;1030;0.00089407;49
BPPC_4_0_3.txt_0.1.bz2;220;0.000153065;14
BPPC_5_0_5.txt_0.5.bz2;1030;9.799e-05;15
BPPC_8_0_4.txt_0.9.bz2;1030;0.000405788;31
BPPC_3_0_8.txt_0.2.bz2;220;0.000202894;13
BPPC_2_0_5.txt_0.6.bz2;200;0.000543118;124
BPPC_2_0_8.txt_0.7.bz2;200;0.000411034;106
BPPC_2_0_7.txt_0.2.bz2;220;3.19481e-05;7
BPPC_3_0_8.txt_0.6.bz2;210;0.00177217;99
BPPC_1_0_2.txt_0.5.bz2;200;0.000286102;34
BPPC_1_0_5.txt_0.5.bz2;200;0.000167847;91
BPPC_4_0_1.txt_0.7.bz2;210;0.00169802;132
BPPC_3_0_4.txt_0.1.bz2;220;9.67979e-05;13
BPPC_4_0_5.txt_0.2.bz2;220;0.000723124;13
BPPC_1_0_6.txt_0.9.bz2;180;0.00134802;47
BPPC_1_0_4.txt_0.2.bz2;210;0.000198126;8
BPPC_4_0_8.txt_0.9.bz2;199;0.00478005;415
BPPC_4_0_7.txt_0.7.bz2;210;0.00193715;312
BPPC_4_0_3.txt_0.6.bz2;210;0.00080204;113
BPPC_8_0_1.txt_0.6.bz2;1030;0.000618935;80
BPPC_5_0_9.txt_0.7.bz2;1030;0.000226021;18
BPPC_3_0_9.txt_0.1.bz2;220;0.000102997;12
BPPC_8_0_5.txt_0.2.bz2;1040;0;0
BPPC_7_0_2.txt_0.4.bz2;1030;0.000468016;108
BPPC_1_0_5.txt_0.2.bz2;210;0.000241995;20
BPPC_6_0_8.txt_0.4.bz2;1030;0.000355005;39
BPPC_3_0_8.txt_0.8.bz2;200;0.000609159;167
BPPC_8_0_2.txt_0.1.bz2;1040;0;0
BPPC_7_0_2.txt_0.5.bz2;1040;0.000491858;65
BPPC_6_0_4.txt_0.6.bz2;1030;0.000338078;69
BPPC_2_0_1.txt_0.1.bz2;220;0.000752926;7
BPPC_5_0_5.txt_0.3.bz2;1030;0.000113964;23
BPPC_3_0_4.txt_0.5.bz2;220;0.00030303;37
BPPC_2_0_7.txt_0.3.bz2;210;0.000243902;33
BPPC_3_0_9.txt_0.7.bz2;200;0.00127912;376
BPPC_8_0_4.txt_0.6.bz2;1030;0.000618935;87
BPPC_4_0_4.txt_0.5.bz2;220;0.00141811;314
BPPC_1_0_6.txt_0.5.bz2;200;0.000299931;36
BPPC_4_0_9.txt_0.5.bz2;220;0.000276089;8
BPPC_3_0_2.txt_0.3.bz2;220;7.00951e-05;10
BPPC_1_0_3.txt_0.8.bz2;186;0.000605822;105
BPPC_4_0_1.txt_0.9.bz2;190;0.00161409;781
BPPC_8_0_6.txt_0.7.bz2;1030;0.00121093;79
BPPC_3_0_5.txt_0.8.bz2;200;0.000879049;185
BPPC_5_0_3.txt_0.5.bz2;1030;0.000157118;30
BPPC_6_0_5.txt_0.7.bz2;1030;0.000308037;14
BPPC_8_0_7.txt_0.8.bz2;1030;0.000974894;61
BPPC_1_0_5.txt_0.6.bz2;200;0.000228882;26
BPPC_8_0_10.txt_0.7.bz2;1030;0.000674963;44
BPPC_8_0_5.txt_0.3.bz2;1040;0;0
BPPC_3_0_3.txt_0.1.bz2;220;0.000555992;13
BPPC_2_0_2.txt_0.2.bz2;210;0.00018692;17
BPPC_1_0_10.txt_0.9.bz2;180;0.000324011;57
BPPC_4_0_2.txt_0.7.bz2;210;0.00149798;187
BPPC_3_0_6.txt_0.2.bz2;220;0.000447989;12
BPPC_7_0_7.txt_0.1.bz2;1040;0;0
BPPC_2_0_4.txt_0.8.bz2;190;0.000702143;156
BPPC_8_0_7.txt_0.9.bz2;1030;0.000602961;7
BPPC_2_0_9.txt_0.4.bz2;210;0.000326872;9
BPPC_6_0_8.txt_0.8.bz2;1030;0.000741959;22
BPPC_5_0_10.txt_0.1.bz2;1030;0.000756025;54
BPPC_3_0_8.txt_0.1.bz2;220;0.000144958;13
BPPC_4_0_7.txt_0.6.bz2;220;0.00109887;35
BPPC_5_0_1.txt_0.5.bz2;1030;0.000133038;45
BPPC_2_0_4.txt_0.9.bz2;187;0.000252008;60
BPPC_7_0_7.txt_0.2.bz2;1040;0;0
BPPC_5_0_1.txt_0.1.bz2;1030;0.000319004;48
BPPC_3_0_10.txt_0.8.bz2;200;0.00102592;144
BPPC_6_0_5.txt_0.1.bz2;1030;0.000328064;78
BPPC_3_0_5.txt_0.5.bz2;210;0.00047183;23
BPPC_7_0_9.txt_0.7.bz2;1030;0.00026989;36
BPPC_1_0_3.txt_0.7.bz2;199;0.000289917;77
BPPC_8_0_6.txt_0.6.bz2;1030;0.00130892;113
BPPC_7_0_10.txt_0.4.bz2;1030;0.000830889;92
BPPC_1_0_6.txt_0.4.bz2;209;0.00029397;18
BPPC_3_0_5.txt_0.1.bz2;220;0.000165224;7
BPPC_3_0_1.txt_0.6.bz2;210;0.00113702;47
BPPC_6_0_4.txt_0.2.bz2;1030;0.000840187;62
BPPC_8_0_3.txt_0.8.bz2;1030;0.000745058;25
BPPC_4_0_10.txt_0.6.bz2;220;0.00106502;43
BPPC_4_0_7.txt_0.3.bz2;220;0.00301385;14
