instance;weight;size;nodes;n_cut_weight;avg_cc;avg_min_k;avg_ratio;time
BPPC_8_0_3.txt_0.9.bz2;1030;3;21166;9453;3.79139;1.09945;0.32123;40
BPPC_8_0_1.txt_0.1.bz2;1040;4;720888662;712983421;140.303;1.03907;0.0106235;57095
BPPC_1_0_8.txt_0.1.bz2;210;6;1014347;920452;35.6961;2.31979;0.132216;66
BPPC_4_0_4.txt_0.4.bz2;220;7;757547360;695934741;57.2638;2.56565;0.177398;140129
BPPC_5_0_7.txt_0.1.bz2;1030;3;138387;125870;19.7344;1.09827;0.0861132;5
BPPC_6_0_7.txt_0.9.bz2;1029;3;288;58;3.46839;1.27238;0.366166;1
BPPC_1_0_4.txt_0.5.bz2;200;5;44096;31177;7.57409;1.35289;0.258278;4
BPPC_5_0_5.txt_0.1.bz2;1030;3;148730;135356;20.2002;1.10532;0.0856119;6
BPPC_6_0_5.txt_0.5.bz2;1030;3;94831;77559;8.06758;1.06645;0.190854;7
BPPC_8_0_9.txt_0.8.bz2;1030;3;235933;153566;4.45961;1.05605;0.287355;63
BPPC_2_0_8.txt_0.2.bz2;210;6;18050574;16333344;40.4285;2.37697;0.15892;1448
BPPC_6_0_8.txt_0.9.bz2;1029;3;298;69;3.61121;1.24379;0.355173;1
BPPC_3_0_4.txt_0.4.bz2;220;7;33289337;28827942;25.8412;2.56845;0.280309;5183
BPPC_8_0_5.txt_0.7.bz2;1030;3;1493883;1202045;9.47385;1.02545;0.203888;169
BPPC_5_0_8.txt_0.9.bz2;1026;3;54;11;3.52973;1.30921;0.371503;0
BPPC_5_0_5.txt_0.7.bz2;1030;3;1031;476;4.03948;1.1552;0.308849;0
BPPC_7_0_8.txt_0.8.bz2;1030;3;23925;13114;4.11886;1.09718;0.302287;10
BPPC_5_0_1.txt_0.8.bz2;1030;3;234;63;3.58063;1.25484;0.353367;1
BPPC_5_0_7.txt_0.3.bz2;1030;3;38100;31827;9.30429;1.04026;0.159872;2
BPPC_6_0_7.txt_0.6.bz2;1030;3;33677;24252;5.54943;1.06274;0.244769;3
BPPC_8_0_3.txt_0.7.bz2;1030;3;1512290;1221056;7.90474;1.02669;0.214793;167
BPPC_4_0_9.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_7_0_10.txt_0.1.bz2;1040;4;45477332;44505946;81.2472;1.07296;0.0204104;2552
BPPC_5_0_9.txt_0.3.bz2;1030;3;40096;33920;9.03646;1.05802;0.160349;2
