instance;weight;size;nodes;n_cut_weight;avg_cc;avg_min_k;avg_ratio;time
BPPC_3_0_10.txt_0.7.bz2;690;8;45257;0;6.39512;4.21624;0.653271;78
BPPC_8_0_5.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_6_0_5.txt_0.3.bz2;5560;14;29135;0;11.4304;9.14199;0.799023;30
BPPC_8_0_4.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_1_0_1.txt_0.2.bz2;1601;20;90429;0;16.2586;13.9432;0.857253;127
BPPC_5_0_10.txt_0.5.bz2;3088;8;131;0;6.51255;4.04172;0.605445;0
BPPC_2_0_4.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_4_0_6.txt_0.8.bz2;678;7;52052;0;6.22003;4.11;0.653877;226
BPPC_7_0_7.txt_0.4.bz2;5474;13;286022;0;11.161;8.86913;0.79628;421
BPPC_5_0_9.txt_0.8.bz2;1811;4;53;0;4.28947;2.04024;0.474431;0
BPPC_3_0_6.txt_0.5.bz2;1123;12;2167565;0;9.87791;7.61121;0.771819;3875
BPPC_7_0_6.txt_0.5.bz2;4261;10;47351;0;9.00401;6.74922;0.750164;66
BPPC_5_0_1.txt_0.2.bz2;5574;16;1089;0;12.7213;10.3471;0.806828;1
BPPC_1_0_9.txt_0.4.bz2;1035;12;4298;0;9.94996;7.67086;0.769074;5
BPPC_6_0_10.txt_0.2.bz2;7544;20;113663;0;15.9158;13.6157;0.855816;156
BPPC_7_0_8.txt_0.7.bz2;3188;8;2921;0;6.22612;4.04309;0.643829;9
BPPC_7_0_4.txt_0.2.bz2;10219;25;65783333;0;20.7577;18.399;0.888188;153934
BPPC_2_0_1.txt_0.7.bz2;649;7;3051;0;6.24976;4.06496;0.645968;10
BPPC_2_0_1.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_5_0_5.txt_0.1.bz2;7776;22;2478;0;15.7469;13.484;0.840853;2
BPPC_6_0_3.txt_0.9.bz2;1478;3;75;0;4.07532;1.78217;0.44583;1
BPPC_2_0_9.txt_0.9.bz2;396;4;228;0;4.52412;2.44105;0.525984;10
BPPC_2_0_1.txt_0.6.bz2;779;9;11552;0;7.28933;5.07459;0.691556;18
BPPC_7_0_7.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_3_0_5.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_1_0_9.txt_0.7.bz2;541;6;412;0;5.37239;3.11489;0.571965;2
BPPC_8_0_3.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_7_0_3.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_7_0_8.txt_0.6.bz2;4141;10;7131;0;7.9384;5.7178;0.716839;15
BPPC_8_0_9.txt_0.6.bz2;3942;10;288358;0;7.85196;5.63144;0.71658;427
