class  type  cfs.N  cfs.t  cfs.s    bcm.N  bcm.t.  bcm.nn    ilp2.N  ilp2.t  ilp2.nn
C1     1     90     0.0    10       90     0.0     59        90      0.2     257
C1     2     90     0.0    19       90     0.0     93        90      1.1     687
C1     3     90     0.0    27       90     0.0     164       90      8.2     1302
C1     4     90     0.0    96       90     0.0     368       90      24.2    4779
C1     5     90     0.0    10       90     0.0     130       90      0.0     35
C1     6     90     0.0    11       90     0.0     174       90      0.1     79
C1     7     90     0.0    5        90     0.0     175       90      0.5     209
C1     8     90     0.0    5        90     0.0     178       90      3.6     476
C3     1     90     0.0    390      90     0.0     1931      90      1.5     2236
C3     2     90     0.0    1845     90     0.1     11076     90      25.8    23911
C3     3     90     0.1    12293    90     1.3     79608     54      162.8   179946
C3     4     90     1.6    117433   90     27.3    768841    21      141.9   194077
C3     5     90     0.0    170      90     0.0     800       90      0.2     277
C3     6     90     0.0    442      90     0.0     2697      90      2.0     3035
C3     7     90     0.0    1751     90     0.1     13847     90      46.5    45063
C3     8     90     0.0    8139     90     0.6     87145     59      35.3    106971
C10    1     90     0.1    25284    90     1.6     390071    90      3.5     3375
C10    2     90     25.2   2973643  73     31.9    5538512   68      126.2   88374
C10    3     61     15.9   1278758  50     18.2    2868097   22      166.0   146267
C10    4     50     47.2   4892372  40     108.8   10917062  1       575.1   91400
C10    5     90     0.0    342      90     0.0     8842      90      0.2     132
C10    6     90     0.5    109309   90     6.8     1196970   90      5.3     7922
C10    7     86     35.9   5047011  70     24.5    5015045   65      143.1   180369
C10    8     60     7.3    1201721  49     17.4    2616920   20      156.4   444277
C15    1     90     0.3    94719    90     20.5    4630800   90      2.8     2450
C15    2     80     27.8   5710907  70     26.4    5389661   60      112.3   110218
C15    3     60     6.9    1079724  50     19.2    2868097   20      238.1   71065
C15    4     50     48.5   4892372  40     114.6   10917062  NA      NA      NA
C15    5     90     0.0    342      90     0.0     8842      90      0.2     132
C15    6     90     0.4    124867   90     24.3    5331239   90      3.8     4214
C15    7     80     23.9   4870992  70     24.4    5015045   58      134.3   152075
C15    8     60     7.4    1201721  50     18.4    2831336   20      126.5   161151
R1     1     90     0.0    3        90     0.0     24        90      0.1     25
R1     2     90     0.0    6        90     0.0     37        90      0.8     68
R1     3     90     0.0    13       90     0.0     75        90      4.8     231
R1     4     90     0.0    23       90     0.1     150       90      10.1    688
R1     5     90     0.0    1        90     0.0     15        90      0.0     2
R1     6     90     0.0    2        90     0.0     28        90      0.1     2
R1     7     90     0.0    3        90     0.0     54        90      0.4     5
R1     8     90     0.0    4        90     0.1     84        90      2.7     11
R3     1     90     0.0    42       90     0.0     277       90      0.4     464
R3     2     90     0.0    115      90     0.0     863       90      5.0     2840
R3     3     90     0.0    465      90     0.2     4036      90      55.1    24645
R3     4     90     0.1    1942     90     2.3     20494     50      127.2   73543
R3     5     90     0.0    17       90     0.0     107       90      0.1     32
R3     6     90     0.0    44       90     0.0     302       90      0.5     625
R3     7     90     0.0    132      90     0.0     1044      90      5.0     3933
R3     8     90     0.0    479      90     0.2     3907      90      64.7    28637
R10    1     90     0.0    2192     90     0.1     7337      90      1.6     1251
R10    2     90     0.8    66015    90     9.1     311111    87      107.4   68381
R10    3     89     49.9   1926944  69     57.0    942483    33      100.0   223094
R10    4     51     23.2   597536   40     25.0    570826    8       333.6   228047
R10    5     90     0.0    68       90     0.0     390       90      0.1     38
R10    6     90     0.0    3919     90     0.2     12147     90      1.5     1140
R10    7     90     1.5    130533   90     17.7    584911    80      91.7    78108
R10    8     79     19.5   1031967  69     43.2    735325    30      77.0    227310
R15    1     90     0.1    19800    90     0.4     35524     90      1.6     1264
R15    2     80     2.4    317410   80     26.1    1365483   82      136.6   61441
R15    3     70     38.7   2743028  60     28.5    1313975   26      256.8   67955
R15    4     50     12.9   559601   40     22.6    785357    NA      NA      NA
R15    5     90     0.0    68       90     0.0     396       90      0.1     37
R15    6     90     0.0    8913     90     0.3     23126     90      1.6     1267
R15    7     82     11.1   672291   80     20.9    972270    79      126.7   80363
R15    8     70     21.3   1283377  60     20.1    806071    26      207.3   180780
