class,mult,type,density,weight,nodes,time,algo,time_limit
C,1,8,0.9,1030,33,4.17948e-4,CFS,600
C,1,8,0.1,1040,0,0,CFS,600
C,1,1,0.1,210,7,4.50611e-5,CFS,600
C,1,4,0.4,220,22,0.00110888,CFS,600
C,1,5,0.1,1030,43,3.45945e-4,CFS,600
C,1,6,0.9,1029,57,1.09911e-4,CFS,600
C,1,1,0.5,200,33,3.20911e-4,CFS,600
C,1,5,0.1,1030,41,3.06845e-4,CFS,600
C,1,6,0.5,1030,42,1.719e-4,CFS,600
C,1,8,0.8,1030,53,5.04971e-4,CFS,600
C,1,2,0.2,210,22,7.58171e-4,CFS,600
C,1,6,0.9,1029,53,1.15871e-4,CFS,600
C,1,3,0.4,220,59,0.00113487,CFS,600
C,1,8,0.7,1030,50,5.05924e-4,CFS,600
C,1,5,0.9,1026,15,4.63009e-4,CFS,600
C,1,5,0.7,1030,28,1.23024e-4,CFS,600
C,1,7,0.8,1030,29,4.30107e-4,CFS,600
C,1,5,0.8,1030,9,6.60419e-5,CFS,600
C,1,5,0.3,1030,28,1.39952e-4,CFS,600
C,1,6,0.6,1030,32,1.56879e-4,CFS,600
C,1,8,0.7,1030,60,5.38826e-4,CFS,600
C,1,4,0.2,220,15,3.22104e-4,CFS,600
C,1,7,0.1,1040,0,0,CFS,600
C,1,5,0.3,1030,27,2.80857e-4,CFS,600
C,1,5,0.8,1027,52,8.51154e-5,CFS,600
C,1,6,0.5,1030,31,6.22988e-4,CFS,600
C,1,1,0.9,180,26,1.28031e-4,CFS,600
C,1,3,0.5,210,100,2.70128e-4,CFS,600
C,1,7,0.9,1030,18,2.03848e-4,CFS,600
C,1,7,0.8,1030,32,2.30074e-4,CFS,600
C,1,4,0.5,220,33,7.88927e-4,CFS,600
C,1,6,0.1,1030,70,4.5085e-4,CFS,600
C,1,5,0.8,1029,54,2.32935e-4,CFS,600
C,1,3,0.9,190,116,4.92096e-4,CFS,600
C,1,5,0.9,1029,16,6.81877e-5,CFS,600
C,1,6,0.3,1030,50,6.50883e-4,CFS,600
C,1,8,0.6,1030,83,0.00183892,CFS,600
C,1,6,0.9,1030,11,2.99931e-4,CFS,600
C,1,5,0.6,1030,17,2.72036e-4,CFS,600
C,1,4,0.4,220,14,2.52008e-4,CFS,600
C,1,4,0.6,220,55,6.33955e-4,CFS,600
C,1,8,0.9,1030,23,5.71966e-4,CFS,600
C,1,2,0.8,194,148,3.0303e-4,CFS,600
C,1,4,0.8,200,1361,0.00446391,CFS,600
C,1,3,0.7,200,221,6.9809e-4,CFS,600
C,1,7,0.2,1040,105,5.0807e-4,CFS,600
C,1,4,0.7,210,98,0.00115299,CFS,600
C,1,3,0.9,190,231,7.32183e-4,CFS,600
C,1,3,0.9,190,148,6.96898e-4,CFS,600
C,1,2,0.3,210,9,1.56164e-4,CFS,600
C,1,6,0.8,1030,64,2.72036e-4,CFS,600
C,1,7,0.2,1040,0,0,CFS,600
C,1,8,0.4,1040,0,0,CFS,600
C,1,1,0.7,190,32,1.19925e-4,CFS,600
C,1,8,0.6,1030,73,8.77857e-4,CFS,600
C,1,3,0.7,200,296,9.66787e-4,CFS,600
C,1,7,0.1,1040,0,0,CFS,600
C,1,1,0.3,200,24,3.59058e-4,CFS,600
C,1,8,0.1,1040,0,0,CFS,600
C,1,6,0.1,1040,0,0,CFS,600
C,1,3,0.7,207,82,9.9802e-4,CFS,600
C,1,8,0.3,1040,0,0,CFS,600
C,1,1,0.4,210,52,1.59979e-4,CFS,600
C,1,3,0.8,200,299,6.51121e-4,CFS,600
C,1,7,0.5,1030,61,3.54052e-4,CFS,600
C,1,2,0.1,210,30,9.34124e-4,CFS,600
C,1,7,0.9,1030,83,3.93152e-4,CFS,600
C,1,2,0.7,200,53,9.799e-4,CFS,600
C,1,4,0.2,220,14,3.05891e-4,CFS,600
C,1,4,0.1,220,16,0.00112891,CFS,600
C,1,2,0.2,210,28,6.9499e-4,CFS,600
C,1,8,0.4,1040,0,0,CFS,600
C,1,5,0.9,1007,16,2.8491e-4,CFS,600
C,1,6,0.6,1030,29,1.49965e-4,CFS,600
C,1,7,0.4,1040,82,5.65052e-4,CFS,600
C,1,1,0.5,200,24,1.10865e-4,CFS,600
C,1,8,0.8,1030,80,0.00225496,CFS,600
C,1,1,0.8,190,31,2.98977e-4,CFS,600
C,1,5,0.4,1030,42,3.5882e-4,CFS,600
C,1,7,0.8,1030,12,3.86e-4,CFS,600
C,1,1,0.4,208,22,2.83003e-4,CFS,600
C,1,6,0.2,1040,0,0,CFS,600
C,1,2,0.3,210,20,1.78099e-4,CFS,600
C,1,8,0.2,1040,0,0,CFS,600
C,1,5,0.9,1021,13,7.20024e-5,CFS,600
C,1,4,0.2,220,14,1.33991e-4,CFS,600
C,1,1,0.2,210,10,6.47068e-4,CFS,600
C,1,3,0.9,190,138,3.90053e-4,CFS,600
C,1,7,0.6,1030,34,0.00134802,CFS,600
