instance;weight;time;valid;
BPPC_8_0_3.txt_0.4;6542;25.4985;1;
BPPC_8_0_6.txt_0.7;3323;0.0196171;1;
BPPC_1_0_4.txt_0.5;778;0.00107098;1;
BPPC_4_0_2.txt_0.3;0;0;0;
BPPC_6_0_2.txt_0.3;5653;0.0111411;1;
BPPC_6_0_1.txt_0.2;7404;0.160816;1;
BPPC_6_0_7.txt_0.8;1914;0.000303984;1;
BPPC_8_0_3.txt_0.5;5009;1.34132;1;
BPPC_4_0_8.txt_0.2;0;0;0;
BPPC_6_0_1.txt_0.8;1869;0.000256777;1;
BPPC_8_0_2.txt_0.6;4125;0.147742;1;
BPPC_7_0_2.txt_0.3;7088;2.54695;1;
BPPC_7_0_9.txt_0.2;0;0;0;
BPPC_8_0_8.txt_0.4;6519;24.7926;1;
BPPC_8_0_3.txt_0.6;4123;0.128685;1;
BPPC_2_0_6.txt_0.2;0;0;0;
BPPC_7_0_4.txt_0.6;3449;0.00545216;1;
BPPC_7_0_10.txt_0.6;3585;0.00508118;1;
BPPC_5_0_7.txt_0.5;2839;0.00020504;1;
BPPC_4_0_4.txt_0.7;850;0.401357;1;
BPPC_3_0_7.txt_0.8;572;0.00368094;1;
BPPC_8_0_7.txt_0.8;2545;0.00394702;1;
BPPC_4_0_10.txt_0.5;0;0;0;
BPPC_1_0_5.txt_0.7;534;0.000231981;1;
BPPC_3_0_9.txt_0.5;1055;1.55106;1;
BPPC_3_0_10.txt_0.3;0;0;0;
BPPC_4_0_4.txt_0.2;0;0;0;
BPPC_6_0_9.txt_0.4;4352;0.00306797;1;
BPPC_1_0_7.txt_0.5;762;0.000899792;1;
BPPC_7_0_8.txt_0.4;5308;0.210419;1;
BPPC_7_0_5.txt_0.1;0;0;0;
BPPC_8_0_1.txt_0.4;6520;30.3246;1;
BPPC_5_0_8.txt_0.2;5538;0.00107098;1;
BPPC_8_0_10.txt_0.9;1998;0.000944853;1;
BPPC_1_0_6.txt_0.3;1230;0.017117;1;
BPPC_5_0_5.txt_0.4;3477;0.000212908;1;
BPPC_5_0_1.txt_0.3;4357;0.000391006;1;
BPPC_4_0_8.txt_0.7;823;0.459019;1;
BPPC_4_0_10.txt_0.8;665;0.0417399;1;
BPPC_8_0_9.txt_0.3;0;0;0;
BPPC_4_0_3.txt_0.2;0;0;0;
BPPC_3_0_7.txt_0.1;0;0;0;
BPPC_8_0_7.txt_0.5;4966;1.45796;1;
BPPC_1_0_3.txt_0.1;2492;1.25292;1;
BPPC_5_0_1.txt_0.7;2226;0.000124931;1;
BPPC_3_0_2.txt_0.8;622;0.00455499;1;
BPPC_4_0_2.txt_0.1;0;0;0;
BPPC_4_0_3.txt_0.9;484;0.00525904;1;
BPPC_1_0_10.txt_0.8;430;0.000310183;1;
BPPC_7_0_4.txt_0.3;7068;2.54166;1;
BPPC_6_0_7.txt_0.6;2968;0.000422955;1;
BPPC_7_0_5.txt_0.7;3306;0.00135183;1;
BPPC_3_0_10.txt_0.4;1386;27.3781;1;
BPPC_1_0_8.txt_0.8;431;0.000215054;1;
BPPC_4_0_1.txt_0.9;504;0.00518107;1;
BPPC_5_0_10.txt_0.4;3657;0.000300884;1;
BPPC_2_0_7.txt_0.6;791;0.00557995;1;
BPPC_6_0_9.txt_0.3;5546;0.0135059;1;
BPPC_8_0_4.txt_0.1;0;0;0;
BPPC_2_0_3.txt_0.8;527;0.000582933;1;
BPPC_2_0_10.txt_0.6;763;0.00495791;1;
BPPC_2_0_1.txt_0.2;0;0;0;
BPPC_5_0_8.txt_0.3;4294;0.000534058;1;
BPPC_4_0_9.txt_0.7;838;0.451915;1;
BPPC_4_0_10.txt_0.2;0;0;0;
BPPC_3_0_5.txt_0.7;720;0.0196531;1;
BPPC_5_0_1.txt_0.5;2828;0.000144005;1;
BPPC_6_0_10.txt_0.2;7544;0.12346;1;
BPPC_3_0_1.txt_0.2;0;0;0;
BPPC_5_0_3.txt_0.2;6042;0.000782013;1;
BPPC_2_0_9.txt_0.8;530;0.000985146;1;
BPPC_3_0_2.txt_0.7;705;0.0184031;1;
BPPC_5_0_3.txt_0.8;0;0;0;
BPPC_7_0_4.txt_0.2;0;0;0;
BPPC_3_0_8.txt_0.7;726;0.0184219;1;
BPPC_6_0_3.txt_0.5;3688;0.000878811;1;
BPPC_2_0_9.txt_0.4;1262;0.171368;1;
BPPC_8_0_8.txt_0.6;4329;0.123292;1;
BPPC_3_0_8.txt_0.1;0;0;0;
BPPC_7_0_5.txt_0.2;0;0;0;
BPPC_8_0_10.txt_0.8;2567;0.00505996;1;
BPPC_3_0_10.txt_0.7;690;0.0218801;1;
BPPC_6_0_5.txt_0.1;12004;4.06572;1;
BPPC_2_0_2.txt_0.7;693;0.00188208;1;
BPPC_7_0_9.txt_0.7;3007;0.0020721;1;
BPPC_7_0_6.txt_0.4;5337;0.18493;1;
BPPC_1_0_1.txt_0.6;623;0.000652075;1;
BPPC_4_0_2.txt_0.6;1013;5.79208;1;
BPPC_5_0_2.txt_0.9;0;0;0;
BPPC_5_0_2.txt_0.8;1524;0.000108957;1;
BPPC_4_0_2.txt_0.9;497;0.004884;1;
BPPC_1_0_9.txt_0.4;1035;0.00197506;1;
BPPC_1_0_8.txt_0.4;998;0.00244498;1;
BPPC_6_0_6.txt_0.4;4331;0.00332403;1;
BPPC_4_0_1.txt_0.4;0;0;0;
BPPC_4_0_10.txt_0.6;1015;6.25594;1;
BPPC_8_0_7.txt_0.9;2070;0.00162411;1;
BPPC_1_0_8.txt_0.6;619;0.000601053;1;
BPPC_3_0_1.txt_0.1;0;0;0;
BPPC_8_0_1.txt_0.8;2664;0.00368404;1;
BPPC_2_0_10.txt_0.8;545;0.000628948;1;
BPPC_3_0_7.txt_0.5;1139;1.36601;1;
BPPC_5_0_3.txt_0.6;2428;0.000190973;1;
BPPC_1_0_6.txt_0.1;2534;1.60279;1;
BPPC_4_0_2.txt_0.2;0;0;0;
BPPC_8_0_8.txt_0.8;2716;0.00413418;1;
BPPC_4_0_3.txt_0.3;0;0;0;
BPPC_4_0_4.txt_0.3;0;0;0;
BPPC_2_0_7.txt_0.1;0;0;0;
BPPC_7_0_7.txt_0.9;1801;0.000427008;1;
