instance;size;weight;
BPPC_8_0_3.txt_0.4;17;6542;
BPPC_8_0_6.txt_0.7;8;3323;
BPPC_1_0_4.txt_0.5;10;778;
BPPC_4_0_2.txt_0.3;0;0;
BPPC_6_0_2.txt_0.3;16;5653;
BPPC_6_0_1.txt_0.2;21;7404;
BPPC_6_0_7.txt_0.8;5;1914;
BPPC_8_0_3.txt_0.5;12;5009;
BPPC_4_0_8.txt_0.2;0;0;
BPPC_6_0_1.txt_0.8;4;1869;
BPPC_8_0_2.txt_0.6;9;4125;
BPPC_7_0_2.txt_0.3;17;7088;
BPPC_7_0_9.txt_0.2;0;0;
BPPC_8_0_8.txt_0.4;17;6519;
BPPC_8_0_3.txt_0.6;10;4123;
BPPC_2_0_6.txt_0.2;0;0;
BPPC_7_0_4.txt_0.6;8;3449;
BPPC_7_0_10.txt_0.6;9;3585;
BPPC_5_0_7.txt_0.5;8;2839;
BPPC_4_0_4.txt_0.7;9;850;
BPPC_3_0_7.txt_0.8;6;572;
BPPC_8_0_7.txt_0.8;6;2545;
BPPC_4_0_10.txt_0.5;0;0;
BPPC_1_0_5.txt_0.7;6;534;
BPPC_3_0_9.txt_0.5;12;1055;
BPPC_3_0_10.txt_0.3;0;0;
BPPC_4_0_4.txt_0.2;0;0;
BPPC_6_0_9.txt_0.4;10;4352;
BPPC_1_0_7.txt_0.5;9;762;
BPPC_7_0_8.txt_0.4;14;5308;
BPPC_7_0_5.txt_0.1;0;0;
BPPC_8_0_1.txt_0.4;15;6520;
BPPC_5_0_8.txt_0.2;15;5538;
BPPC_8_0_10.txt_0.9;5;1998;
BPPC_1_0_6.txt_0.3;15;1230;
BPPC_5_0_5.txt_0.4;9;3477;
BPPC_5_0_1.txt_0.3;12;4357;
BPPC_4_0_8.txt_0.7;9;823;
BPPC_4_0_10.txt_0.8;7;665;
BPPC_8_0_9.txt_0.3;0;0;
BPPC_4_0_3.txt_0.2;0;0;
BPPC_3_0_7.txt_0.1;0;0;
BPPC_8_0_7.txt_0.5;13;4966;
BPPC_1_0_3.txt_0.1;32;2492;
BPPC_5_0_1.txt_0.7;5;2226;
BPPC_3_0_2.txt_0.8;6;622;
BPPC_4_0_2.txt_0.1;0;0;
BPPC_4_0_3.txt_0.9;5;484;
BPPC_1_0_10.txt_0.8;5;430;
BPPC_7_0_4.txt_0.3;18;7068;
BPPC_6_0_7.txt_0.6;7;2968;
BPPC_7_0_5.txt_0.7;8;3306;
BPPC_3_0_10.txt_0.4;15;1386;
BPPC_1_0_8.txt_0.8;4;431;
BPPC_4_0_1.txt_0.9;5;504;
BPPC_5_0_10.txt_0.4;9;3657;
BPPC_2_0_7.txt_0.6;8;791;
