instance;weight;time
BPPC_8_0_3.txt_0.9.bz2;2163;0.000905991
BPPC_8_0_1.txt_0.1.bz2;0;0
BPPC_1_0_8.txt_0.1.bz2;2600;1.94759
BPPC_4_0_4.txt_0.4.bz2;0;0
BPPC_5_0_7.txt_0.1.bz2;8476;0.00124311
BPPC_6_0_7.txt_0.9.bz2;1475;0.000224113
BPPC_1_0_4.txt_0.5.bz2;778;0.000983953
BPPC_5_0_5.txt_0.1.bz2;7776;0.00398707
BPPC_6_0_5.txt_0.5.bz2;3709;0.00123501
BPPC_8_0_9.txt_0.8.bz2;2667;0.00664115
BPPC_2_0_8.txt_0.2.bz2;2147;191.734
BPPC_6_0_8.txt_0.9.bz2;1407;0.000315189
BPPC_3_0_4.txt_0.4.bz2;1412;24.6889
BPPC_8_0_5.txt_0.7.bz2;3256;0.023509
BPPC_5_0_8.txt_0.9.bz2;1267;0.000236034
BPPC_5_0_5.txt_0.7.bz2;2078;0.00012207
BPPC_7_0_8.txt_0.8.bz2;2382;0.000549078
BPPC_5_0_1.txt_0.8.bz2;1760;0.000465155
BPPC_5_0_7.txt_0.3.bz2;4566;0.000285149
BPPC_6_0_7.txt_0.6.bz2;2968;0.000394821
BPPC_8_0_3.txt_0.7.bz2;3370;0.026139
BPPC_4_0_9.txt_0.2.bz2;0;0
BPPC_7_0_10.txt_0.1.bz2;0;0
BPPC_5_0_9.txt_0.3.bz2;4280;0.000535965
BPPC_5_0_3.txt_0.8.bz2;1656;0.00041008
BPPC_6_0_8.txt_0.5.bz2;3695;0.00236702
BPPC_1_0_7.txt_0.9.bz2;347;0.000258923
BPPC_3_0_9.txt_0.5.bz2;1055;1.66457
BPPC_7_0_2.txt_0.9.bz2;1808;0.000409842
BPPC_7_0_4.txt_0.8.bz2;2434;0.00069499
BPPC_4_0_5.txt_0.5.bz2;1268;154.114
BPPC_6_0_1.txt_0.1.bz2;11901;2.43684
BPPC_5_0_9.txt_0.8.bz2;1811;0.000204086
BPPC_3_0_8.txt_0.9.bz2;443;0.00105
BPPC_5_0_3.txt_0.9.bz2;1314;7.29561e-05
BPPC_6_0_4.txt_0.3.bz2;5708;0.010771
BPPC_8_0_10.txt_0.6.bz2;4026;0.155577
BPPC_6_0_6.txt_0.9.bz2;1642;0.000391006
BPPC_5_0_7.txt_0.6.bz2;2495;0.00033617
BPPC_4_0_9.txt_0.4.bz2;0;0
BPPC_4_0_1.txt_0.6.bz2;1025;5.6991
BPPC_8_0_5.txt_0.9.bz2;2163;0.00121403
BPPC_2_0_10.txt_0.8.bz2;545;0.00065279
BPPC_4_0_7.txt_0.8.bz2;635;0.049567
BPPC_3_0_5.txt_0.7.bz2;720;0.0244739
BPPC_7_0_8.txt_0.2.bz2;10144;126.717
BPPC_4_0_3.txt_0.7.bz2;826;0.501362
BPPC_3_0_10.txt_0.9.bz2;456;0.00124502
BPPC_3_0_5.txt_0.9.bz2;455;0.00211096
BPPC_2_0_1.txt_0.3.bz2;1534;2.673
BPPC_6_0_2.txt_0.8.bz2;2048;0.000294924
BPPC_7_0_5.txt_0.2.bz2;9764;164.931
BPPC_8_0_9.txt_0.4.bz2;6481;27.128
BPPC_1_0_9.txt_0.7.bz2;541;0.000365019
BPPC_8_0_3.txt_0.6.bz2;4123;0.138736
BPPC_3_0_4.txt_0.7.bz2;768;0.022115
BPPC_7_0_2.txt_0.1.bz2;0;0
BPPC_1_0_1.txt_0.3.bz2;1211;0.0107861
BPPC_8_0_3.txt_0.1.bz2;0;0
BPPC_6_0_8.txt_0.1.bz2;11501;6.60877
BPPC_3_0_7.txt_0.7.bz2;726;0.02408
BPPC_8_0_4.txt_0.3.bz2;0;0
BPPC_1_0_10.txt_0.4.bz2;939;0.00316715
BPPC_3_0_1.txt_0.8.bz2;562;0.00560808
BPPC_7_0_7.txt_0.5.bz2;4585;0.0440569
BPPC_2_0_2.txt_0.1.bz2;0;0
BPPC_7_0_6.txt_0.9.bz2;1703;0.000753164
BPPC_2_0_6.txt_0.7.bz2;656;0.00167704
BPPC_4_0_2.txt_0.2.bz2;0;0
BPPC_4_0_7.txt_0.1.bz2;0;0
BPPC_2_0_4.txt_0.2.bz2;2141;133.263
BPPC_8_0_3.txt_0.4.bz2;6542;26.7756
BPPC_5_0_5.txt_0.9.bz2;1298;0.000328064
BPPC_6_0_10.txt_0.6.bz2;3072;0.000756025
BPPC_7_0_1.txt_0.4.bz2;5485;0.1951
BPPC_1_0_7.txt_0.5.bz2;762;0.00133705
BPPC_8_0_8.txt_0.8.bz2;2716;0.00556803
BPPC_1_0_4.txt_0.8.bz2;496;0.000358105
BPPC_5_0_4.txt_0.4.bz2;3350;0.000247002
BPPC_7_0_5.txt_0.8.bz2;2326;0.000492096
BPPC_1_0_4.txt_0.4.bz2;988;0.00329208
BPPC_6_0_3.txt_0.2.bz2;7652;0.123017
BPPC_2_0_4.txt_0.3.bz2;1562;1.8209
BPPC_8_0_7.txt_0.2.bz2;0;0
BPPC_5_0_4.txt_0.9.bz2;1215;0.000527859
BPPC_4_0_3.txt_0.2.bz2;0;0
BPPC_1_0_2.txt_0.2.bz2;1570;0.195071
BPPC_3_0_4.txt_0.9.bz2;453;0.00137281
BPPC_7_0_4.txt_0.6.bz2;3449;0.00723219
BPPC_7_0_6.txt_0.7.bz2;3330;0.00203705
BPPC_8_0_7.txt_0.4.bz2;6459;31.8916
BPPC_2_0_8.txt_0.9.bz2;411;0.000448942
BPPC_5_0_4.txt_0.2.bz2;6262;0.000566959
BPPC_1_0_8.txt_0.8.bz2;431;0.000302076
BPPC_2_0_3.txt_0.3.bz2;1487;3.27021
BPPC_1_0_7.txt_0.1.bz2;2540;1.24128
BPPC_3_0_3.txt_0.9.bz2;433;0.00103307
BPPC_4_0_1.txt_0.3.bz2;0;0
BPPC_6_0_9.txt_0.9.bz2;1569;0.00061202
BPPC_8_0_6.txt_0.4.bz2;6447;30.7829
BPPC_7_0_5.txt_0.4.bz2;5608;0.192604
BPPC_1_0_3.txt_0.9.bz2;337;0.000165939
BPPC_5_0_3.txt_0.4.bz2;3491;0.000257015
BPPC_7_0_1.txt_0.7.bz2;3038;0.00172997
BPPC_5_0_7.txt_0.9.bz2;1249;0.000254869
BPPC_1_0_5.txt_0.8.bz2;418;0.000168085
BPPC_1_0_6.txt_0.2.bz2;1538;0.198333
BPPC_7_0_10.txt_0.6.bz2;3585;0.00682688
BPPC_5_0_1.txt_0.9.bz2;1267;0.000277042
BPPC_5_0_7.txt_0.8.bz2;1550;0.000221014
BPPC_6_0_9.txt_0.6.bz2;3034;0.000520945
BPPC_5_0_10.txt_0.6.bz2;2221;0.00046277
BPPC_3_0_2.txt_0.5.bz2;1092;1.34281
BPPC_1_0_5.txt_0.3.bz2;1291;0.00799012
BPPC_3_0_2.txt_0.9.bz2;437;0.00106382
BPPC_2_0_3.txt_0.7.bz2;692;0.00162601
BPPC_6_0_1.txt_0.5.bz2;3837;0.000988007
BPPC_7_0_2.txt_0.2.bz2;9659;177.202
BPPC_5_0_1.txt_0.2.bz2;5574;0.00178409
BPPC_6_0_1.txt_0.2.bz2;7404;0.171719
BPPC_6_0_5.txt_0.6.bz2;3116;0.00131583
BPPC_4_0_6.txt_0.7.bz2;824;0.488867
BPPC_1_0_1.txt_0.1.bz2;2524;0.645421
BPPC_3_0_7.txt_0.5.bz2;1139;1.3902
BPPC_7_0_5.txt_0.5.bz2;4568;0.0230379
BPPC_7_0_9.txt_0.2.bz2;9986;137.971
BPPC_2_0_1.txt_0.4.bz2;1128;0.207744
BPPC_8_0_3.txt_0.5.bz2;5009;1.40702
BPPC_8_0_2.txt_0.5.bz2;5080;1.64286
BPPC_6_0_2.txt_0.5.bz2;3424;0.0010879
