instance;weight;size;nodes;avg_cc;avg_min_k;avg_ratio;time;alg
BPPC_8_0_3.txt_0.9.bz2;2163;5;1312;4.28092;3.01538;0.707005;42;combo
BPPC_8_0_1.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_1_0_8.txt_0.1.bz2;2600;33;393089;24.7298;23.029;0.931726;485;combo
BPPC_4_0_4.txt_0.4.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_5_0_7.txt_0.1.bz2;8476;24;1163;15.9938;13.9342;0.836454;0;combo
BPPC_6_0_7.txt_0.9.bz2;1475;4;76;4.06632;2.5659;0.638898;1;combo
BPPC_1_0_4.txt_0.5.bz2;778;10;2644;7.40757;5.88602;0.802649;2;combo
BPPC_5_0_5.txt_0.1.bz2;7776;22;2478;15.7469;13.8923;0.868555;1;combo
BPPC_6_0_5.txt_0.5.bz2;3709;9;1623;8.08494;6.5478;0.815063;3;combo
BPPC_8_0_9.txt_0.8.bz2;2667;7;8531;5.38015;4.14087;0.778279;46;combo
BPPC_2_0_8.txt_0.2.bz2;2147;24;137312955;19.6213;17.9721;0.920135;209905;combo
BPPC_6_0_8.txt_0.9.bz2;1407;3;98;3.86541;2.4815;0.65449;1;combo
BPPC_3_0_4.txt_0.4.bz2;1412;15;34289443;12.5173;11.0013;0.887039;58787;combo
BPPC_8_0_5.txt_0.7.bz2;3256;8;39266;6.58999;5.2326;0.803792;72;combo
BPPC_5_0_8.txt_0.9.bz2;1267;3;35;3.64214;2.01831;0.56583;0;combo
BPPC_5_0_5.txt_0.7.bz2;2078;5;86;4.87916;3.12849;0.650928;0;combo
BPPC_7_0_8.txt_0.8.bz2;2382;5;901;5.13206;3.78236;0.746655;9;combo
BPPC_5_0_1.txt_0.8.bz2;1760;4;58;4.14562;2.39426;0.581586;0;combo
BPPC_5_0_7.txt_0.3.bz2;4566;12;722;8.94649;7.10551;0.787943;0;combo
BPPC_6_0_7.txt_0.6.bz2;2968;7;869;6.4791;4.99237;0.779292;4;combo
BPPC_8_0_3.txt_0.7.bz2;3370;8;32619;6.79236;5.44721;0.810382;68;combo
BPPC_4_0_9.txt_0.2.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_7_0_10.txt_0.1.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_5_0_9.txt_0.3.bz2;4280;12;1019;9.0093;7.27547;0.798491;0;combo
BPPC_5_0_3.txt_0.8.bz2;1656;4;68;3.95374;2.2932;0.583438;0;combo
BPPC_6_0_8.txt_0.5.bz2;3695;9;1508;8.25053;6.71797;0.820051;4;combo
BPPC_1_0_7.txt_0.9.bz2;347;4;62;4.08635;2.57894;0.642392;1;combo
BPPC_3_0_9.txt_0.5.bz2;1055;12;2655968;9.52633;8.0654;0.856458;3679;combo
BPPC_7_0_2.txt_0.9.bz2;1808;4;284;4.29838;2.95935;0.690738;9;combo
