instance;weight;time;valid;
BPPC_8_0_7.txt_0.6;4219;0.169556;1;
BPPC_6_0_2.txt_0.3;5653;0.011241;1;
BPPC_8_0_2.txt_0.8;2658;0.00377488;1;
BPPC_4_0_2.txt_0.5;0;0;0;
BPPC_5_0_5.txt_0.5;2815;0.000144958;1;
BPPC_4_0_5.txt_0.8;665;0.0522511;1;
BPPC_7_0_5.txt_0.8;2326;0.000531197;1;
BPPC_7_0_3.txt_0.2;0;0;0;
BPPC_7_0_8.txt_0.3;6977;6.42786;1;
BPPC_6_0_10.txt_0.6;3072;0.000434875;1;
BPPC_1_0_1.txt_0.2;1601;0.17687;1;
BPPC_3_0_5.txt_0.1;0;0;0;
BPPC_6_0_8.txt_0.5;3695;0.00118399;1;
BPPC_3_0_8.txt_0.2;0;0;0;
BPPC_6_0_1.txt_0.8;1869;0.000360966;1;
BPPC_4_0_3.txt_0.8;670;0.127617;1;
BPPC_4_0_3.txt_0.6;0;0;0;
BPPC_3_0_7.txt_0.3;0;0;0;
BPPC_3_0_3.txt_0.8;567;0.00963092;1;
BPPC_2_0_3.txt_0.9;391;0.000640869;1;
BPPC_4_0_9.txt_0.2;0;0;0;
BPPC_5_0_9.txt_0.3;4280;0.000422001;1;
BPPC_2_0_7.txt_0.6;791;0.00572395;1;
BPPC_6_0_9.txt_0.4;4352;0.00338507;1;
BPPC_1_0_8.txt_0.3;1269;0.00815201;1;
BPPC_3_0_8.txt_0.3;0;0;0;
BPPC_3_0_5.txt_0.8;579;0.0129061;1;
BPPC_5_0_2.txt_0.2;5920;0.00197291;1;
BPPC_3_0_9.txt_0.1;0;0;0;
BPPC_7_0_10.txt_0.8;2328;0.00212288;1;
BPPC_8_0_4.txt_0.6;4025;0.39587;1;
BPPC_8_0_5.txt_0.6;4106;0.34802;1;
BPPC_7_0_5.txt_0.3;7186;5.80987;1;
BPPC_2_0_1.txt_0.7;649;0.00250912;1;
BPPC_5_0_8.txt_0.7;1968;0.000128031;1;
