instance;size;weight;valid;
c_BPPC_2_0_6.txt_0.6.dimacs;8;790;1;
c_BPPC_4_0_2.txt_0.2.dimacs;0;0;0;
c_BPPC_8_0_2.txt_0.6.dimacs;9;4125;1;
c_BPPC_1_0_10.txt_0.5.dimacs;8;729;1;
c_BPPC_8_0_2.txt_0.8.dimacs;6;2658;1;
c_BPPC_8_0_9.txt_0.5.dimacs;13;5021;1;
c_BPPC_2_0_5.txt_0.1.dimacs;0;0;0;
c_BPPC_3_0_6.txt_0.8.dimacs;6;587;1;
c_BPPC_1_0_2.txt_0.1.dimacs;32;2527;1;
c_BPPC_4_0_6.txt_0.4.dimacs;0;0;0;
c_BPPC_2_0_5.txt_0.4.dimacs;13;1201;1;
c_BPPC_5_0_7.txt_0.2.dimacs;16;6036;1;
c_BPPC_7_0_4.txt_0.5.dimacs;10;4550;1;
c_BPPC_3_0_5.txt_0.7.dimacs;8;720;1;
c_BPPC_6_0_3.txt_0.6.dimacs;8;3224;1;
c_BPPC_2_0_2.txt_0.8.dimacs;6;516;1;
c_BPPC_7_0_8.txt_0.4.dimacs;14;5308;1;
c_BPPC_1_0_1.txt_0.1.dimacs;33;2524;1;
c_BPPC_6_0_9.txt_0.1.dimacs;34;12473;1;
c_BPPC_3_0_4.txt_0.5.dimacs;12;1121;1;
c_BPPC_2_0_4.txt_0.8.dimacs;5;495;1;
c_BPPC_8_0_6.txt_0.9.dimacs;5;2153;1;
c_BPPC_4_0_7.txt_0.2.dimacs;0;0;0;
c_BPPC_3_0_9.txt_0.6.dimacs;9;850;1;
c_BPPC_1_0_8.txt_0.3.dimacs;16;1269;1;
c_BPPC_1_0_1.txt_0.7.dimacs;6;563;1;
c_BPPC_4_0_9.txt_0.9.dimacs;5;490;1;
c_BPPC_3_0_6.txt_0.1.dimacs;0;0;0;
c_BPPC_3_0_6.txt_0.9.dimacs;5;481;1;
c_BPPC_1_0_4.txt_0.5.dimacs;10;778;1;
c_BPPC_3_0_7.txt_0.6.dimacs;10;938;1;
c_BPPC_4_0_10.txt_0.6.dimacs;0;0;0;
c_BPPC_4_0_1.txt_0.9.dimacs;5;504;1;
c_BPPC_1_0_7.txt_0.3.dimacs;14;1228;1;
c_BPPC_7_0_6.txt_0.3.dimacs;18;7233;1;
c_BPPC_2_0_1.txt_0.4.dimacs;14;1128;1;
c_BPPC_7_0_7.txt_0.8.dimacs;5;2267;1;
c_BPPC_7_0_5.txt_0.6.dimacs;8;3465;1;
c_BPPC_3_0_2.txt_0.8.dimacs;6;622;1;
c_BPPC_7_0_4.txt_0.8.dimacs;6;2434;1;
c_BPPC_3_0_3.txt_0.7.dimacs;8;758;1;
c_BPPC_2_0_2.txt_0.1.dimacs;0;0;0;
c_BPPC_1_0_3.txt_0.3.dimacs;15;1308;1;
c_BPPC_5_0_5.txt_0.5.dimacs;7;2815;1;
c_BPPC_3_0_9.txt_0.9.dimacs;5;445;1;
c_BPPC_8_0_1.txt_0.8.dimacs;6;2664;1;
c_BPPC_2_0_7.txt_0.9.dimacs;4;396;1;
c_BPPC_5_0_8.txt_0.9.dimacs;3;1267;1;
c_BPPC_2_0_8.txt_0.2.dimacs;0;0;0;
c_BPPC_6_0_8.txt_0.2.dimacs;20;7903;1;
c_BPPC_6_0_2.txt_0.7.dimacs;6;2202;1;
c_BPPC_6_0_1.txt_0.9.dimacs;4;1488;1;
c_BPPC_6_0_6.txt_0.1.dimacs;33;11921;1;
c_BPPC_3_0_5.txt_0.8.dimacs;6;579;1;
c_BPPC_1_0_3.txt_0.6.dimacs;7;563;1;
c_BPPC_2_0_10.txt_0.6.dimacs;9;763;1;
c_BPPC_8_0_7.txt_0.9.dimacs;5;2070;1;
c_BPPC_7_0_6.txt_0.5.dimacs;10;4261;1;
c_BPPC_2_0_6.txt_0.9.dimacs;4;403;1;
c_BPPC_3_0_4.txt_0.7.dimacs;8;768;1;
c_BPPC_7_0_3.txt_0.7.dimacs;7;2838;1;
c_BPPC_1_0_6.txt_0.8.dimacs;5;449;1;
c_BPPC_8_0_6.txt_0.1.dimacs;0;0;0;
c_BPPC_6_0_10.txt_0.6.dimacs;8;3072;1;
c_BPPC_7_0_3.txt_0.6.dimacs;9;3570;1;
c_BPPC_7_0_6.txt_0.4.dimacs;13;5337;1;
c_BPPC_7_0_5.txt_0.3.dimacs;18;7186;1;
c_BPPC_8_0_7.txt_0.7.dimacs;8;3420;1;
c_BPPC_4_0_6.txt_0.3.dimacs;0;0;0;
c_BPPC_7_0_4.txt_0.7.dimacs;7;2830;1;
c_BPPC_8_0_8.txt_0.4.dimacs;0;0;0;
c_BPPC_2_0_5.txt_0.9.dimacs;4;388;1;
c_BPPC_4_0_6.txt_0.2.dimacs;0;0;0;
c_BPPC_3_0_8.txt_0.9.dimacs;5;443;1;
c_BPPC_5_0_1.txt_0.3.dimacs;12;4357;1;
c_BPPC_5_0_7.txt_0.6.dimacs;6;2495;1;
c_BPPC_3_0_10.txt_0.5.dimacs;12;1106;1;
c_BPPC_7_0_10.txt_0.6.dimacs;9;3585;1;
c_BPPC_8_0_6.txt_0.5.dimacs;12;5134;1;
c_BPPC_6_0_6.txt_0.4.dimacs;10;4331;1;
c_BPPC_7_0_1.txt_0.8.dimacs;6;2295;1;
c_BPPC_8_0_10.txt_0.3.dimacs;0;0;0;
c_BPPC_5_0_4.txt_0.1.dimacs;23;8214;1;
c_BPPC_4_0_3.txt_0.9.dimacs;5;484;1;
c_BPPC_7_0_10.txt_0.3.dimacs;17;7117;1;
c_BPPC_4_0_9.txt_0.7.dimacs;9;838;1;
c_BPPC_4_0_10.txt_0.1.dimacs;0;0;0;
c_BPPC_8_0_3.txt_0.2.dimacs;0;0;0;
c_BPPC_8_0_1.txt_0.2.dimacs;0;0;0;
c_BPPC_5_0_10.txt_0.1.dimacs;24;8230;1;
c_BPPC_1_0_5.txt_0.3.dimacs;14;1291;1;
c_BPPC_8_0_2.txt_0.7.dimacs;8;3347;1;
c_BPPC_8_0_10.txt_0.9.dimacs;5;1998;1;
c_BPPC_1_0_5.txt_0.8.dimacs;5;418;1;
c_BPPC_2_0_9.txt_0.9.dimacs;4;396;1;
c_BPPC_1_0_2.txt_0.7.dimacs;6;544;1;
c_BPPC_8_0_1.txt_0.3.dimacs;0;0;0;
c_BPPC_1_0_10.txt_0.7.dimacs;6;534;1;
c_BPPC_3_0_6.txt_0.6.dimacs;9;902;1;
c_BPPC_1_0_8.txt_0.9.dimacs;3;284;1;
c_BPPC_6_0_8.txt_0.9.dimacs;3;1407;1;
c_BPPC_8_0_10.txt_0.8.dimacs;6;2567;1;
c_BPPC_2_0_2.txt_0.2.dimacs;0;0;0;
c_BPPC_8_0_9.txt_0.3.dimacs;0;0;0;
c_BPPC_7_0_4.txt_0.3.dimacs;18;7068;1;
c_BPPC_8_0_3.txt_0.9.dimacs;5;2163;1;
c_BPPC_3_0_8.txt_0.2.dimacs;0;0;0;
c_BPPC_7_0_1.txt_0.5.dimacs;10;4511;1;
c_BPPC_3_0_3.txt_0.8.dimacs;6;567;1;
c_BPPC_3_0_3.txt_0.1.dimacs;0;0;0;
c_BPPC_2_0_8.txt_0.9.dimacs;4;411;1;
c_BPPC_7_0_4.txt_0.9.dimacs;4;1899;1;
c_BPPC_7_0_3.txt_0.2.dimacs;0;0;0;
c_BPPC_4_0_6.txt_0.7.dimacs;9;824;1;
c_BPPC_1_0_3.txt_0.9.dimacs;4;337;1;
c_BPPC_3_0_7.txt_0.5.dimacs;12;1139;1;
c_BPPC_5_0_3.txt_0.5.dimacs;8;2995;1;
c_BPPC_8_0_2.txt_0.5.dimacs;12;5080;1;
c_BPPC_2_0_7.txt_0.1.dimacs;0;0;0;
c_BPPC_6_0_2.txt_0.5.dimacs;10;3424;1;
c_BPPC_4_0_10.txt_0.4.dimacs;0;0;0;
c_BPPC_1_0_7.txt_0.1.dimacs;31;2540;1;
c_BPPC_1_0_8.txt_0.8.dimacs;4;431;1;
c_BPPC_8_0_5.txt_0.3.dimacs;0;0;0;
c_BPPC_1_0_3.txt_0.7.dimacs;6;541;1;
c_BPPC_6_0_2.txt_0.2.dimacs;20;7407;1;
c_BPPC_5_0_3.txt_0.4.dimacs;9;3491;1;
