instance;hl_v;hl_t;
BPPC_8_0_3.txt_0.4;1040.0;0.00811117;
BPPC_8_0_6.txt_0.7;1010.0;0.007827935;
BPPC_1_0_4.txt_0.5;199.0;0.004971633;
BPPC_4_0_2.txt_0.3;210.0;0.038828721;
BPPC_6_0_2.txt_0.3;780.0;0.004426031;
BPPC_6_0_1.txt_0.2;1025.0;0.005794211;
BPPC_6_0_7.txt_0.8;1014.0;0.005580572;
BPPC_8_0_3.txt_0.5;1028.0;0.009517208;
BPPC_4_0_8.txt_0.2;220.0;0.018867345;
BPPC_6_0_1.txt_0.8;1014.0;0.008177338;
BPPC_8_0_2.txt_0.6;1026.0;0.008213856;
BPPC_7_0_2.txt_0.3;780.0;0.005508235;
BPPC_7_0_9.txt_0.2;1040.0;0.007077614;
BPPC_8_0_8.txt_0.4;1040.0;0.008813694;
BPPC_8_0_3.txt_0.6;780.0;0.006701504;
BPPC_2_0_6.txt_0.2;210.0;0.007007498;
BPPC_7_0_4.txt_0.6;1030.0;0.01025073;
BPPC_7_0_10.txt_0.6;1024.0;0.006502064;
BPPC_5_0_7.txt_0.5;1030.0;0.00561374;
BPPC_4_0_4.txt_0.7;193.0;0.014304721;
BPPC_3_0_7.txt_0.8;144.0;0.009510789;
BPPC_8_0_7.txt_0.8;1016.0;0.007593877;
BPPC_4_0_10.txt_0.5;209.0;0.01565994;
BPPC_1_0_5.txt_0.7;179.0;0.007055565;
BPPC_3_0_9.txt_0.5;210.0;0.009190884;
BPPC_3_0_10.txt_0.3;207.0;0.010007882;
BPPC_4_0_4.txt_0.2;209.0;0.051108485;
BPPC_6_0_9.txt_0.4;1028.0;0.005656767;
BPPC_1_0_7.txt_0.5;200.0;0.006556491;
BPPC_7_0_8.txt_0.4;1029.0;0.007127741;
BPPC_7_0_5.txt_0.1;1040.0;0.007884672;
BPPC_8_0_1.txt_0.4;1040.0;0.008391496;
BPPC_5_0_8.txt_0.2;1020.0;0.004939654;
BPPC_8_0_10.txt_0.9;966.0;0.007280823;
BPPC_1_0_6.txt_0.3;208.0;0.004470429;
BPPC_5_0_5.txt_0.4;1029.0;0.004729106;
BPPC_5_0_1.txt_0.3;1030.0;0.004899927;
BPPC_4_0_8.txt_0.7;154.0;0.01333806;
BPPC_4_0_10.txt_0.8;199.0;0.015192514;
BPPC_8_0_9.txt_0.3;1040.0;0.010466349;
BPPC_4_0_3.txt_0.2;220.0;0.02263805;
BPPC_3_0_7.txt_0.1;220.0;0.011447009;
BPPC_8_0_7.txt_0.5;780.0;0.010753464;
BPPC_1_0_3.txt_0.1;209.0;0.005135314;
BPPC_5_0_1.txt_0.7;759.0;0.007139961;
BPPC_3_0_2.txt_0.8;155.0;0.009757545;
BPPC_4_0_2.txt_0.1;220.0;0.093549016;
BPPC_4_0_3.txt_0.9;104.0;0.014383426;
BPPC_1_0_10.txt_0.8;169.0;0.005582441;
BPPC_7_0_4.txt_0.3;780.0;0.005428399;
BPPC_6_0_7.txt_0.6;1027.0;0.005956342;
BPPC_7_0_5.txt_0.7;1016.0;0.006231028;
BPPC_3_0_10.txt_0.4;210.0;0.009870441;
BPPC_1_0_8.txt_0.8;147.0;0.00639616;
BPPC_4_0_1.txt_0.9;147.0;0.014473042;
BPPC_5_0_10.txt_0.4;1030.0;0.004780093;
BPPC_2_0_7.txt_0.6;145.0;0.007412488;
BPPC_6_0_9.txt_0.3;1030.0;0.004806431;
BPPC_8_0_4.txt_0.1;1040.0;0.01199648;
BPPC_2_0_3.txt_0.8;131.0;0.006456267;
BPPC_2_0_10.txt_0.6;200.0;0.00754613;
BPPC_2_0_1.txt_0.2;190.0;0.004387693;
BPPC_5_0_8.txt_0.3;1026.0;0.004857599;
BPPC_4_0_9.txt_0.7;189.0;0.01355693;
BPPC_4_0_10.txt_0.2;210.0;0.032795035;
BPPC_3_0_5.txt_0.7;160.0;0.008029665;
BPPC_5_0_1.txt_0.5;769.0;0.004915496;
BPPC_6_0_10.txt_0.2;1040.0;0.005046069;
BPPC_3_0_1.txt_0.2;210.0;0.008967447;
BPPC_5_0_3.txt_0.2;1030.0;0.004881307;
BPPC_2_0_9.txt_0.8;173.0;0.0063772;
BPPC_3_0_2.txt_0.7;200.0;0.008241313;
BPPC_5_0_3.txt_0.8;770.0;0.003915897;
BPPC_7_0_4.txt_0.2;1040.0;0.007434025;
BPPC_3_0_8.txt_0.7;188.0;0.009824612;
BPPC_6_0_3.txt_0.5;1029.0;0.005079557;
BPPC_2_0_9.txt_0.4;162.0;0.006998408;
BPPC_8_0_8.txt_0.6;780.0;0.00639546;
BPPC_3_0_8.txt_0.1;220.0;0.014169257;
BPPC_7_0_5.txt_0.2;1040.0;0.005290566;
BPPC_8_0_10.txt_0.8;1022.0;0.013254584;
BPPC_3_0_10.txt_0.7;200.0;0.007116002;
BPPC_6_0_5.txt_0.1;1030.0;0.004965313;
BPPC_2_0_2.txt_0.7;152.0;0.008679701;
BPPC_7_0_9.txt_0.7;780.0;0.005122296;
BPPC_7_0_6.txt_0.4;780.0;0.00522298;
BPPC_1_0_1.txt_0.6;184.0;0.005067258;
BPPC_4_0_2.txt_0.6;210.0;0.018907213;
BPPC_5_0_2.txt_0.9;907.0;0.005314475;
