instance,ilp2
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.1.bz2,220
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.2.bz2,220
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.1.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.3.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.4.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.2.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.3.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.4.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.5.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.7.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.6.bz2,199
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.5.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.1.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.6.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.2.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.7.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.3.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.9.bz2,180
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.4.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_10.txt_0.8.bz2,189
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.1.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.5.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.2.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.6.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.3.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.4.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.9.bz2,180
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_1.txt_0.8.bz2,186
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.5.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.1.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.9.bz2,180
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.2.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.7.bz2,199
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.7.bz2,190
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.3.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_2.txt_0.8.bz2,188
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.4.bz2,208
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.6.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.1.bz2,220
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.2.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.9.bz2,180
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_3.txt_0.8.bz2,186
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.5.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.3.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.6.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.4.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.7.bz2,190
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_6.txt_0.1.bz2,210
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_5.txt_0.5.bz2,200
/home/gustavo/ic2024/data/set2/C1/BPPC_1_0_4.txt_0.8.bz2,190
